"","event_short","strata","ID","V","n_strata","N","w_strata","sd","n_neymans","n_equal","n_prop","tier","block","construct","construct2","row","column","event"
"34","CT3",3,"LCOR-338",8109.91122731732,11,34,0.323529411764706,1194.97796314644,9.0688525186354,5.66666666666667,5.5,"WT","large","Control","control",7,13,"CT717 3"
"35","CT3",3,"LCOR-203",4586.81597143457,11,34,0.323529411764706,1194.97796314644,9.0688525186354,5.66666666666667,5.5,"WT","large","Control","control",15,10,"CT717 3"
"36","CT3",3,"LCOR-347",5455.28188868924,11,34,0.323529411764706,1194.97796314644,9.0688525186354,5.66666666666667,5.5,"WT","large","Control","control",7,14,"CT717 3"
"37","CT3",2,"LCOR-201",2677.4619413733,11,34,0.323529411764706,506.413388056828,3.84324102317109,5.66666666666667,5.5,"WT","large","Control","control",14,4,"CT717 3"
"38","CT3",1,"LCOR-494",598.594909259941,12,34,0.352941176470588,493.76340941837,4.08789664492524,5.66666666666667,6,"WT","small","Control","control",6,45,"CT717 3"
"39","CT3",1,"LCOR-504",1738.42491426336,12,34,0.352941176470588,493.76340941837,4.08789664492524,5.66666666666667,6,"WT","large","Control","control",13,9,"CT717 3"
"40","CT3",1,"LCOR-500",1465.6720893129,12,34,0.352941176470588,493.76340941837,4.08789664492524,5.66666666666667,6,"WT","small","Control","control",2,50,"CT717 3"
"41","CT3",2,"LCOR-209",2611.79950380893,11,34,0.323529411764706,506.413388056828,3.84324102317109,5.66666666666667,5.5,"WT","large","Control","control",5,22,"CT717 3"
"42","CT3",1,"LCOR-206",803.293731928653,12,34,0.352941176470588,493.76340941837,4.08789664492524,5.66666666666667,6,"WT","large","Control","control",9,27,"CT717 3"
"43","13-15E",3,"LCOR-604",10259.5251695019,10,32,0.3125,2466.50189598857,10.6333987014398,5.33333333333333,5,"poor","large","LC-102","transgenic",3,14,"LC-102 13-15E"
"44","13-15E",3,"LCOR-301",4231.53850050174,10,32,0.3125,2466.50189598857,10.6333987014398,5.33333333333333,5,"poor","large","LC-102","transgenic",15,25,"LC-102 13-15E"
"45","CT3",1,"LCOR-340",1474.95565831354,12,34,0.352941176470588,493.76340941837,4.08789664492524,5.66666666666667,6,"WT","large","Control","control",6,22,"CT717 3"
"46","CT3",2,"LCOR-344",2906.39427453373,11,34,0.323529411764706,506.413388056828,3.84324102317109,5.66666666666667,5.5,"WT","large","Control","control",2,5,"CT717 3"
"47","2H",1,"LCOR-216",1328.03391403925,10,29,0.344827586206897,582.222705890401,3.43815521933418,4.83333333333333,5,"poor","small","LC-102","transgenic",13,47,"LC-102 2H"
