"","event_short","strata","ID","V","n_strata","N","w_strata","sd","n_neymans","n_equal","n_prop","tier","block","construct","construct2","row","column","event"
"43","5A",1,"LCOR-245",264.385455710886,12,34,0.352941176470588,943.69466053196,1.9797028656911,5.66666666666667,6,"elite","large","LC-102","transgenic",3,22,"LC-102 5A"
"44","8-9D",3,"LCOR-420",7756.55904368771,9,29,0.310344827586207,1874.4187626021,7.85861238548206,4.83333333333333,4.5,"control","large","Escape","control",7,10,"LC-102 8-9D"
"45","8-9D",3,"LCOR-282",5199.14182865414,9,29,0.310344827586207,1874.4187626021,7.85861238548206,4.83333333333333,4.5,"control","large","Escape","control",4,5,"LC-102 8-9D"
"46","8-9D",1,"LCOR-417",1482.39398216983,10,29,0.344827586206897,927.677342524055,4.32149172446524,4.83333333333333,5,"control","small","Escape","control",14,50,"LC-102 8-9D"
"47","8-9D",3,"LCOR-293",7796.70549361809,9,29,0.310344827586207,1874.4187626021,7.85861238548206,4.83333333333333,4.5,"control","large","Escape","control",2,26,"LC-102 8-9D"
"48","8-9D",1,"LCOR-085",3094.81954911786,10,29,0.344827586206897,927.677342524055,4.32149172446524,4.83333333333333,5,"control","large","Escape","control",5,18,"LC-102 8-9D"
"49","8-9D",2,"LCOR-291",3706.35453158837,10,29,0.344827586206897,493.075788148282,2.29694403467844,4.83333333333333,5,"control","large","Escape","control",9,23,"LC-102 8-9D"
"50","8-9D",1,"LCOR-294",862.99044564827,10,29,0.344827586206897,927.677342524055,4.32149172446524,4.83333333333333,5,"control","large","Escape","control",13,3,"LC-102 8-9D"
"51","8-9D",3,"LCOR-094",7105.35131215878,9,29,0.310344827586207,1874.4187626021,7.85861238548206,4.83333333333333,4.5,"control","large","Escape","control",12,7,"LC-102 8-9D"
"52","8-9D",1,"LCOR-413",1589.18279003171,10,29,0.344827586206897,927.677342524055,4.32149172446524,4.83333333333333,5,"control","small","Escape","control",15,51,"LC-102 8-9D"
"53","8-9D",1,"LCOR-086",876.692889540864,10,29,0.344827586206897,927.677342524055,4.32149172446524,4.83333333333333,5,"control","large","Escape","control",3,28,"LC-102 8-9D"
"54","8-9D",3,"LCOR-419",5725.70230677104,9,29,0.310344827586207,1874.4187626021,7.85861238548206,4.83333333333333,4.5,"control","small","Escape","control",6,47,"LC-102 8-9D"
"55","8-9D",2,"LCOR-087",4542.21692386155,10,29,0.344827586206897,493.075788148282,2.29694403467844,4.83333333333333,5,"control","large","Escape","control",2,4,"LC-102 8-9D"
"56","8-9D",2,"LCOR-292",4535.172443048,10,29,0.344827586206897,493.075788148282,2.29694403467844,4.83333333333333,5,"control","large","Escape","control",6,10,"LC-102 8-9D"
"57","8-9D",3,"LCOR-411",8330.23618924393,9,29,0.310344827586207,1874.4187626021,7.85861238548206,4.83333333333333,4.5,"control","large","Escape","control",7,17,"LC-102 8-9D"
