"","ID","SPAD_June_2022","SPAD_July_2022","SPAD_aug_2022","SPAD_sep_2022","SPAD_July_2023","SPAD_Aug_2023","SPAD_Sep_2023","avg_SPAD","row","column"
"138","LCOR-200",36.13333333,25.13333333,39.26666667,42.7,27.7,22.7,28.1,31.6761904757143,4,13
"140","LCOR-137",26.63333333,31.43333333,40.86666667,42.43333333,31.5,30.1,27.2,32.88095238,6,13
"141","LCOR-338",30.3,27.1,38.53333333,40.83333333,30.3,29.6,30,32.38095238,7,13
"142","LCOR-544",29.4,29.7,41.4,43.53333333,22.7,22.9,24,30.5190476185714,8,13
"143","LCOR-320",27.16666667,29.53333333,35.83333333,39.56666667,23.5,30.1,25.9,30.2285714285714,9,13
"144","LCOR-077",34.7,29.26666667,33.16666667,44.13333333,26.2,18.4,33.8,31.3809523814286,10,13
"146","LCOR-088",28.76666667,26.23333333,41.93333333,44.96666667,22.2,31,33.4,32.6428571428571,12,13
"147","LCOR-030",31.13333333,31.8,35.03333333,45.66666667,28.8,27,33.5,33.2761904757143,13,13
"148","LCOR-156",31.5,32.36666667,38,41.4,31.9,17,38.6,32.9666666671429,14,13
"149","LCOR-051",28.83333333,29,47.03333333,45.86666667,26.0488584474886,26.0488584474886,21,31.9758643178539,15,13
"150","LCOR-060",26.4,32,43.7,45.93333333,27.6,26.9,26.9,32.7761904757143,2,14
"151","LCOR-604",32.2,32.3,33.8,43.3,28.9,29.3,23,31.8285714285714,3,14
"152","LCOR-368",29.36666667,35.13333333,41.2,42.46666667,24.3,16.5,20.7,29.9523809528571,4,14
"153","LCOR-046",32.63333333,35.4,37.23333333,43.66666667,22.1,28.7,30.8,32.9333333328571,5,14
"154","LCOR-031",29.8,32.03333333,38.6,41.4,31.7,17.8,30.3,31.6619047614286,6,14
"155","LCOR-347",28.9,26.86666667,39.26666667,41.06666667,30.2,29.2,32.7,32.6000000014286,7,14
"156","LCOR-176",30.6,31.16666667,47.93333333,37.86666667,30.8,20.3,24.5,31.8809523814286,8,14
"157","LCOR-269",30.23333333,31.53333333,33.83333333,47,29.7,18.9,30.5,31.67142857,9,14
"158","LCOR-147",28.53333333,31,42.1,42.63333333,29.2,16.7,35.7,32.2666666657143,10,14
"159","LCOR-257",33.23333333,33.13333333,35.8,43.73333333,28.7,22.5,28.8,32.27142857,11,14
"160","LCOR-256",34.66666667,31.66666667,36.33333333,44.8,31.5,22.2,30.8,33.1380952385714,12,14
"161","LCOR-014",38.36666667,31.83333333,36.96666667,42.3,26.2,28.9,35.4,34.2809523814286,13,14
"162","LCOR-091",33.8,24.36666667,35.73333333,42.36666667,28.3,24.6,22.4,30.2238095242857,14,14
"163","LCOR-264",33.63333333,31.6,37.86666667,43.1,30.3,26.9,22.1,32.2142857142857,15,14
"165","LCOR-486",28.13333333,22.63333333,40.1,41.2,31.2,22.2,25.1,30.08095238,2,15
