"","ID","SPAD_June_2022","SPAD_July_2022","SPAD_aug_2022","SPAD_sep_2022","SPAD_July_2023","SPAD_Aug_2023","SPAD_Sep_2023","avg_SPAD","TGI_mean","GRVI_mean","MGRVI_mean","EXG_mean","EXGR_mean","NDVI_mean","NDRE_mean","GNDVI_mean","SAVI_mean","OSAVI_mean","MSAVI_mean","GCI_mean","RECI_mean","shadow_area","V497","H497","D497","V801","H801","D801","HD497","HD801","branchiness"
"34","LCOR-563",32.7,30.3,39.93333333,46.2,20.6,16.3,23.5,29.9333333328571,0.17008667,0.400201978,0.676073817,0.552980282,-0.274239229,0.598575953,-0.06827897,0.271365557,0.506784058,0.553526226,0.505571867,0.781297704,-0.119193147,0.506251226,1344.0264886752,3535.68,22,2068.93105823431,3840.48,26.19,160.712727272727,146.639175257732,0.104155285815181
"35","LCOR-314",36.53333333,28.36666667,34.56666667,46.9,29.1,26.3,25.2,32.4238095242857,0.145879664,0.277901753,0.490868672,0.438688051,-0.419002664,0.456147287,-0.024982091,0.215820564,0.388694229,0.423820171,0.384026631,0.569119384,-0.043472803,0.602510262,1840.304152125,3749.04,25,8142.73507171649,5212.08,44.6,149.9616,116.862780269058,0.0908885209785351
"36","LCOR-042",32.93333333,21.16666667,34.9,46.86666667,27.1,18.3,25.1,29.4809523814286,0.168538205,0.364036912,0.623018011,0.551026052,-0.301960353,0.541821694,-0.064754,0.231659411,0.456852032,0.501381892,0.454583227,0.620262497,-0.11575396,0.297689982,1456.323942693,3505.2,23,5497.30018708109,4937.76,37.65,152.4,131.149003984064,0.314698597762735
"37","LCOR-577",30.6,31.66666667,34.9,41.3,29.9,22.4,32.8,31.9380952385714,0.129732426,0.415713441,0.700445223,0.535640941,-0.271281886,0.628010469,-0.15488935,0.292041298,0.492268111,0.561453769,0.490503178,0.851523605,-0.262289651,0.716595045,1066.2632486478,3078.48,21,4627.90031217761,4876.8,34.76,146.594285714286,140.29919447641,-0.177761526935853
"38","LCOR-069",33.53333333,33.73333333,41.5,46.03333333,26.1,30.7,26.4,33.9999999985714,0.099596581,0.312664614,0.549983655,0.400574894,-0.407412836,0.52339806,-0.120590873,0.265965801,0.412060043,0.469272872,0.406247058,0.756148904,-0.208359864,0.983981256,1840.304152125,3749.04,25,3868.6245489432,4389.12,33.5,149.9616,131.018507462687,-0.111602457626672
"39","LCOR-043",37.1,28,37.03333333,44.76666667,30.3,21.6,24.8,31.9428571428571,0.134079478,0.400200429,0.677776539,0.499991157,-0.298250286,0.602619886,-0.104477225,0.274923021,0.499790798,0.554499596,0.500867109,0.775507411,-0.185828785,0.445643685,1320.8536181808,3474.72,22,3652.97587228235,4511.04,32.11,157.941818181818,140.487075677359,0.139404080809278
"40","LCOR-062",26.03333333,29.6,35.33333333,44.93333333,25.7,28.8,22.5,30.4142857128571,0.083088428,0.37679553,0.653242648,0.406683624,-0.357576698,0.626532257,-0.194564834,0.326492131,0.458388209,0.542356253,0.450752378,0.984068751,-0.322007924,0.967938084,1076.8203105156,3108.96,21,2664.84303026321,4023.36,29.04,148.045714285714,138.545454545455,-0.292027701949588
"41","LCOR-135",31.06666667,31.56666667,30.73333333,45.36666667,33,24.7,31.2,32.51904762,0.16501734,0.492618826,0.790151437,0.582632542,-0.194886141,0.67169253,-0.081768221,0.269867685,0.568004714,0.623158826,0.574553066,0.745576435,-0.14837424,0.609640561,1855.2659745,3779.52,25,6854.28054496404,5394.96,40.22,151.1808,134.136250621581,0.0941289241698638
"42","LCOR-003",33.76666667,28.86666667,38.43333333,44.26666667,30,21.4,27.4,32.01904762,0.138373141,0.422875768,0.715296936,0.512874326,-0.277689968,0.636375982,-0.104421321,0.293656852,0.522114979,0.580791543,0.521768813,0.840182148,-0.183956892,0.607857986,2103.751920504,3962.4,26,7837.43257237562,5516.88,42.53,152.4,129.717375969904,0.142590664627579
"43","LCOR-191",30.6,28.33333333,42.4,39.56666667,29.6,17.2,26.9,30.6571428571429,0.155212256,0.450856771,0.743400378,0.582595287,-0.223826873,0.630345711,-0.134655023,0.254052187,0.500654612,0.56681633,0.499769944,0.701273405,-0.228829702,0.324428603,872.8368089838,3078.48,19,3245.72257208495,4480.56,30.37,162.025263157895,147.532433322358,0.149378821681932
"44","LCOR-310",28.76666667,29.33333333,40.53333333,45.73333333,30.6,22,35.2,33.1666666657143,0.142323754,0.414256293,0.700552822,0.549289546,-0.265965044,0.612580481,-0.124640157,0.269129351,0.49205944,0.554712784,0.490336899,0.748923057,-0.217677802,0.310168005,909.6788004,2895.6,20,2289.38181437568,3840.48,27.55,144.78,139.400362976407,0.106692200832647
"45","LCOR-251",36.9,32.43333333,33.8,38.46666667,30.7,19.6,31,31.8428571428571,0.127724431,0.416801322,0.699922619,0.540949449,-0.267692664,0.621806918,-0.147562232,0.284016687,0.470033736,0.544472003,0.464170399,0.83586638,-0.250635466,0.734420793,3167.11856034,4480.56,30,3167.11856034,4480.56,30,149.352,149.352,0.187406940584228
"46","LCOR-358",39.7,31.23333333,31.93333333,38.56666667,22.6,19.3,29.9,30.4619047614286,0.160288545,0.422252222,0.706722299,0.568869876,-0.250926735,0.634687758,-0.095838783,0.298353529,0.515972373,0.573606904,0.513673841,0.901186442,-0.16519871,0.834244978,4206.3547730496,4632.96,34,7138.73325886535,5516.88,40.59,136.263529411765,135.917220990392,0.168242563346876
"47","LCOR-363",39.6,24.66666667,48.43333333,42.6,24.3,17.5,25.4,31.7857142857143,0.189468598,0.421127141,0.706921586,0.580726053,-0.245333912,0.619209646,-0.047122064,0.270688494,0.549439297,0.586951782,0.551171561,0.761604951,-0.087216172,0.256690763,393.196692015,2225.04,15,1015.10219713972,3078.48,20.49,148.336,150.243045387994,-0.0786016420672964
"48","LCOR-355",33.13333333,29.16666667,41.33333333,46.43333333,29.1,16.1,23.7,31.28095238,0.146224717,0.29921328,0.527003013,0.424909689,-0.407279774,0.490601362,-0.045199625,0.24150142,0.429789753,0.461063902,0.428708028,0.679916834,-0.076002816,0.541902721,1182.3909291936,3413.76,21,2483.8302015674,4175.76,27.52,162.56,151.735465116279,0.0409698741947291
"49","LCOR-472",32.9,28.63333333,36.83333333,45.96666667,26,25.1,30.1,32.2190476185714,0.150369138,0.339368242,0.583702319,0.49778921,-0.343351249,0.551331144,-0.057890805,0.273988435,0.466878342,0.51072034,0.464826468,0.801889651,-0.100831588,0.404644466,2152.3000417464,4053.84,26,8003.95831372956,5760.72,42.06,155.916923076923,136.964336661912,0.333396760583002
"50","LCOR-421",35.4,27.16666667,38.86666667,42.1,23.2,20.3,30.3,31.0476190485714,0.143636092,0.351685108,0.605858827,0.53351994,-0.320066012,0.558812851,-0.065313926,0.271605736,0.445433543,0.501979779,0.440766408,0.788416251,-0.111826933,0.383253569,1251.3350066976,3291.84,22,5206.06256921192,4815.84,37.1,149.629090909091,129.807008086253,0.14760014331826
"51","LCOR-177",33.66666667,33.73333333,33.43333333,43.86666667,22.8,23.4,31.1,31.7142857142857,0.107827875,0.376768129,0.651509559,0.47522583,-0.327691783,0.607475745,-0.170587407,0.304664844,0.461469037,0.534442139,0.456130019,0.908793441,-0.284651848,1.26741064,3627.9905673216,4511.04,32,9482.00032070153,5852.16,45.42,140.97,128.845442536328,-0.0310703180050449
"52","LCOR-073",33.4,30.06666667,37.76666667,44.16666667,29.7,24.3,32.5,33.12857143,0.128921711,0.411589687,0.693337269,0.532432044,-0.275971726,0.622881455,-0.143234415,0.291878636,0.495024502,0.561002805,0.494432537,0.847552566,-0.244783678,0.82354953,1840.304152125,3749.04,25,5224.16518452156,4968.24,36.59,149.9616,135.781361027603,-0.0381267692829403
"53","LCOR-510",32.23333333,21.83333333,39.66666667,42.26666667,27.3,29.7,26,31.2857142857143,0.135490022,0.400745108,0.682064462,0.515041432,-0.291887202,0.603099864,-0.109709983,0.272408445,0.489438402,0.549082411,0.488628712,0.762403448,-0.194906843,0.771854862,898.7626547952,3169.92,19,2986.77766828399,4236.72,29.96,166.837894736842,141.412550066756,-0.179158027186659
"54","LCOR-474",32.4,23.03333333,37.2,44.9,30.1,28.3,26.5,31.7761904757143,0.133353313,0.410203112,0.69667032,0.530528704,-0.277936379,0.606373999,-0.099329154,0.263902717,0.479845365,0.545688735,0.476580832,0.722534657,-0.176932984,0.780767736,1204.9892657088,3169.92,22,4031.5462984929,4419.6,34.08,144.087272727273,129.683098591549,-0.183897733080128
"55","LCOR-181",30.06666667,32.26666667,41.66666667,42.3,31.2,21.9,28.9,32.6142857157143,0.137956309,0.423502297,0.711997666,0.558235381,-0.255069537,0.623969358,-0.11653021,0.275351467,0.48586518,0.55456543,0.480933114,0.769965025,-0.199707386,0.714812471,1958.1075567768,3688.08,26,6128.54487848953,5242.56,38.58,141.849230769231,135.888024883359,0.00393670574640951
"56","LCOR-148",32.5,29.8,32.83333333,39.46666667,30.5,30.7,33.4,32.7428571428571,0.139077825,0.445667526,0.738755606,0.572206886,-0.232964155,0.6421931,-0.142698556,0.27713122,0.498790148,0.570139987,0.495510805,0.777551744,-0.242152242,0.778985161,2268.691050366,3962.4,27,6093.66348667124,5151.12,38.81,146.755555555556,132.726616851327,0.0401894161188461
"57","LCOR-400",38.4,29.33333333,32.2,42.2,27.7,21.6,32.9,32.0476190471429,0.170890524,0.484277836,0.779884654,0.64878139,-0.167147408,0.653049122,-0.100940373,0.249080059,0.531336887,0.595823745,0.536040692,0.674881171,-0.181957245,0.627466308,2818.567946292,4267.2,29,6467.91890415771,5394.96,39.07,147.144827586207,138.084463782954,0.203592017487388
"58","LCOR-530",32.23333333,28,36.6,47.96666667,28,22.7,28.2,31.9571428571429,0.148803993,0.379922452,0.657800426,0.528241663,-0.301224485,0.568364948,-0.080785768,0.243134308,0.461211395,0.51611494,0.454647363,0.650205397,-0.143465191,0.713029896,2973.21334236,4206.24,30,9169.51582823308,5669.28,45.38,140.208,124.929043631556,0.136430617114915
"59","LCOR-094",29.06666667,28.7,40.7,39.93333333,26.3,24.4,34.8,31.9857142857143,0.131196957,0.314841384,0.552822217,0.468799029,-0.376483093,0.507705099,-0.049585274,0.241005784,0.405219999,0.456235261,0.397269144,0.659753016,-0.085607297,0.48129518,1627.0802290944,3596.64,24,7105.35131215878,5394.96,40.95,149.86,131.745054945055,0.142118904599492
"60","LCOR-296",35.83333333,28.73333333,33.9,46.33333333,24.1,22.1,29.9,31.5571428557143,0.131615312,0.324616942,0.563000196,0.483358096,-0.36297286,0.519113671,-0.07173437,0.250161445,0.414104436,0.466651498,0.409334679,0.700369116,-0.12195693,0.645292056,2597.1090362262,3931.92,29,7946.15970706816,5120.64,44.45,135.583448275862,115.2,0.110197549815513
"61","LCOR-265",35,25.4,37,43.83333333,25.3,29.5,23.2,31.3190476185714,0.191161549,0.40715945,0.689213079,0.605967031,-0.243984546,0.599137689,-0.058285993,0.259839893,0.523816168,0.564055103,0.525837656,0.72161654,-0.10569539,0.417122489,1709.8131220992,3779.52,24,2524.76766269866,4053.84,28.16,157.48,143.957386363636,0.250791285061582
"62","LCOR-198",32.5,23.46666667,31.9,39.4,25.1,26.4,21.2,28.5666666671429,0.187437579,0.457217693,0.75097239,0.664444268,-0.179142833,0.655726671,-0.070658617,0.285085559,0.562310457,0.611991823,0.567272067,0.809730411,-0.126422942,0.276299085,705.8149934472,2773.68,18,701.256832367553,2895.6,17.56,154.093333333333,164.897494305239,0.111409710859946
"63","LCOR-179",34.26666667,26.26666667,31.73333333,46.73333333,32.3,27.7,25.2,32.0285714285714,0.110973723,0.412322609,0.699220256,0.534769338,-0.274544127,0.645532547,-0.170158447,0.320822114,0.473181463,0.556541491,0.467000973,0.976850765,-0.286397484,1.388625722,4994.9984151648,4907.28,36,15474.3244566975,6522.72,54.96,136.313333333333,118.681222707424,0.0154150155829723
"64","LCOR-036",35.1,28.63333333,30.43333333,45,29.4,17.9,25.6,30.2952380942857,0.129792484,0.455131852,0.749435104,0.616383522,-0.204294265,0.668862754,-0.156076923,0.307175164,0.499045282,0.58360146,0.497055254,0.907676135,-0.266249446,1.415364343,6549.68736288,5212.08,40,13847.5987533705,6248.4,53.12,130.302,117.628012048193,0.0678006594787772
"65","LCOR-279",32.93333333,23.7,35.76666667,46.23333333,30.1,27.3,29.6,32.2333333328571,0.13531022,0.428358091,0.71994232,0.579822567,-0.24158051,0.630809384,-0.127880577,0.278750253,0.483134877,0.557876213,0.478929533,0.788640536,-0.222659958,1.488449908,4340.12543454,4511.04,35,12190.9146124733,6156.96,50.21,128.886857142857,122.624178450508,-0.0974355866924572
"66","LCOR-078",36.23333333,24.43333333,37.1,45.16666667,32.5,29.6,31.2,33.7476190471429,0.169429226,0.440075302,0.73310318,0.595995712,-0.225250149,0.600000916,-0.064386559,0.218787804,0.484065323,0.544770279,0.481391373,0.572963867,-0.117497025,0.625683734,1546.77115131435,3566.16,23.5,4708.2030964167,4602.48,36.09,151.751489361702,127.527847049044,0.0252979932367037
"67","LCOR-582",32.43333333,29.43333333,31.93333333,45.63333333,31.4,19.6,33.5,31.9904761885714,0.177073448,0.53503861,0.824107139,0.701387282,-0.104421462,0.729617457,-0.098007671,0.323409111,0.582782807,0.654498931,0.590654558,1.050867881,-0.166012272,1.083805442,4372.3950930384,4815.84,34,16638.4459713978,6736.08,56.08,141.642352941176,120.115549215407,0.0989183589706574
"68","LCOR-385",38.86666667,28.7,35.66666667,43.83333333,26.3,28.1,33.7,33.5952380957143,0.14733531,0.512498852,0.80775798,0.657410479,-0.143915719,0.694426429,-0.140600598,0.283358303,0.52129428,0.608033288,0.523817878,0.830499879,-0.242623046,0.427817938,3059.39343924,4328.16,30,12609.2871297044,5974.08,51.84,144.272,115.240740740741,0.375884981940107
