row,column,ID,DBH,Height,event,construct,Comments,
10,28,LCOR-337,22.5,10.9,CT717 3,CT717,,
11,28,LCOR-096,22,9.95,LC-102 8-9D,LC102,,
12,28,LCOR-405,27,12.55,LC-102 1C,LC102,,
13,28,LCOR-559,23,11.75,LC-102 7,LC102,,
14,28,LCOR-1018,,,NA,wt,,
15,28,LCOR-083,20.5,10.6,LC-102 13-15E,LC102,,
16,28,LCOR-1020,,,NA,wt,,
1,29,LCOR-024,18,8,LC-102 4B,LC102,,
2,29,LCOR-557,21,10.3,LC-102 7,LC102,,
3,29,LCOR-297,16,6.7,LC-102 13-15E,LC102,,
4,29,LCOR-381,10,4.85,LC-102 7,LC102,,
5,29,LCOR-382,15,7.2,LC-102 7,LC102,,
6,29,LCOR-185,21.5,10.1,LC-102 13-15B,LC102,,
7,29,LCOR-044,21,9.9,LC-102 1,LC102,,
8,29,LCOR-600,19,8.7,CT717 1,CT717,,
9,29,LCOR-127,22,11.1,LC-102 5,LC102,,
10,29,LCOR-1048,,,NA,wt,,
11,29,LCOR-1054,,,NA,wt,,
12,29,LCOR-1049,,,NA,wt,,
13,29,LCOR-1103,,,NA,wt,,
14,29,LCOR-1122,,,NA,wt,,
15,29,LCOR-1124,,,NA,wt,,
16,29,LCOR-1134,,,NA,wt,,
1,30,LCOR-424,17,7.2,LC-102 4B,LC102,,
2,30,LCOR-1025,14,6.6,NA,wt,,
3,30,LCOR-583,15,7.2,LC-102 5A,LC102,,
4,30,LCOR-093,16,8.3,LC-102 8-9D,LC102,,
5,30,LCOR-281,16,7.3,LC-102 8-9D,LC102,,
6,30,LCOR-1073,,,NA,wt,,
7,30,LCOR-1082,,,NA,wt,,
8,30,LCOR-1095,,,NA,wt,,
9,30,LCOR-1244,,,NA,wt,,
10,30,LCOR-1052,,,NA,wt,,
11,30,LCOR-1202,,,NA,wt,,
12,30,LCOR-1210,,,NA,wt,,
13,30,LCOR-1154,,,NA,wt,,
14,30,LCOR-1099,,,NA,wt,,
15,30,LCOR-1140,,,NA,wt,,
16,30,LCOR-1161,,,NA,wt,,
1,44,LCOR-1028,,,NA,wt,,
2,44,LCOR-1169,,,NA,wt,,
3,44,LCOR-1245,,,NA,wt,,
4,44,LCOR-1014,,,NA,wt,,
5,44,LCOR-1034,,,NA,wt,,
6,44,LCOR-1118,,,NA,wt,,
7,44,LCOR-1129,,,NA,wt,,
8,44,LCOR-1136,,,NA,wt,,
9,44,LCOR-1151,,,NA,wt,,
10,44,LCOR-1159,,,NA,wt,,
11,44,LCOR-1160,,,NA,wt,,
12,44,LCOR-1193,,,NA,wt,,
13,44,LCOR-1249,,,NA,wt,,
14,44,LCOR-1261,,,NA,wt,,
15,44,LCOR-1237,,,NA,wt,,
16,44,LCOR-1135,,,NA,wt,,
1,45,LCOR-1039,,,NA,wt,,
2,45,LCOR-599,10.5,5.2,CT717 1,CT717,,
3,45,LCOR-316,15.5,5.95,LC-102 16-20,LC102,,
4,45,LCOR-100,16,7.05,LC-102 16-20,LC102,,
5,45,LCOR-304,8,4.1,LC-102 13-15E,LC102,,
6,45,LCOR-494,12.5,5.95,CT717 3,CT717,,
7,45,LCOR-439,16,7.35,LC-102 1,LC102,,
8,45,LCOR-378,19,9,LC-102 5,LC102,,
9,45,LCOR-595,16,7.5,CT717 1,CT717,defoliation,
10,45,LCOR-1239,17,8.9,NA,wt,,
11,45,LCOR-371,22,10.3,LC-102 5,LC102,,
12,45,LCOR-234,24,10.75,LC-102 4A,LC102,defoliation,
13,45,LCOR-461,24,10.7,LC-102 2H,LC102,,
14,45,LCOR-519,21,10.75,LC-102 5,LC102,,
15,45,LCOR-1226,10,5.7,NA,wt,,
16,45,LCOR-1027,,,NA,wt,,
1,46,LCOR-1042,,,NA,wt,,
2,46,LCOR-112,11.5,5,LC-102 16-20,LC102,,
3,46,LCOR-190,20,9.25,LC-102 13-15B,LC102,,
4,46,LCOR-313,11.5,5.1,LC-102 16-20,LC102,,
5,46,LCOR-446,17,7.9,LC-102 1,LC102,,
6,46,LCOR-032,33,12.15,LC-102 5C,LC102,insects,
7,46,LCOR-492,13,6.3,CT717 3,CT717,,
8,46,LCOR-311,19.5,8.3,LC-102 16-20,LC102,,
9,46,LCOR-523,17,7.6,LC-102 5,LC102,,
10,46,LCOR-432,20,9.25,LC-102 4B,LC102,,
11,46,LCOR-025,27,12.25,LC-102 4B,LC102,,
12,46,LCOR-538,24,10.65,LC-102 4A,LC102,,
13,46,LCOR-102,25,10.4,LC-102 16-20,LC102,,
14,46,LCOR-155,23,10.55,LC-102 5A,LC102,,
15,46,LCOR-490,13,6.95,LC-102 1C,LC102,,
16,46,LCOR-1255,,,NA,wt,,
1,47,LCOR-1079,,,NA,wt,,
2,47,LCOR-374,18,7.65,LC-102 5,LC102,,
3,47,LCOR-521,11,5.75,LC-102 5,LC102,,
4,47,LCOR-232,22,10,LC-102 4A,LC102,,
5,47,LCOR-315,38,13.85,LC-102 16-20,LC102,,
6,47,LCOR-419,22,10.75,LC-102 8-9D,LC102,,
7,47,LCOR-365,19,9.2,LC-102 5,LC102,,
8,47,LCOR-480,15,7.9,LC-102 1C,LC102,,
9,47,LCOR-433,22.5,10.55,LC-102 4B,LC102,,
10,47,LCOR-453,16,7.3,LC-102 2H,LC102,,
11,47,LCOR-223,7,3.7,LC-102 2H,LC102,,
12,47,LCOR-359,,,LC-102 1,LC102,,dead
13,47,LCOR-216,13,6.9,LC-102 2H,LC102,,
14,47,LCOR-159,21,10.4,LC-102 5A,LC102,,
15,47,LCOR-426,14,7.2,LC-102 4B,LC102,,
16,47,LCOR-1068,,,NA,wt,,
1,48,LCOR-1083,,,NA,wt,,
2,48,LCOR-113,32.5,10.15,CT717 1,CT717,,
3,48,LCOR-505,31,10.8,LC-102 16-20,LC102,,
4,48,LCOR-153,24.5,11.45,LC-102 7,LC102,,
5,48,LCOR-336,20.5,10.2,CT717 1,CT717,,
6,48,LCOR-412,23,9.5,LC-102 8-9D,LC102,,
7,48,LCOR-509,20,9.2,LC-102 16-20,LC102,,
8,48,LCOR-549,18,9.95,LC-102 7,LC102,,
9,48,LCOR-466,9.5,4.95,LC-102 13-15B,LC102,,
10,48,LCOR-547,8,4.15,LC-102 7,LC102,,
11,48,LCOR-598,17.5,8.4,CT717 1,CT717,,
12,48,LCOR-464,21.5,10.55,LC-102 13-15B,LC102,,
13,48,LCOR-555,7,3.75,LC-102 7,LC102,,
14,48,LCOR-189,18,8.3,LC-102 13-15B,LC102,,
15,48,LCOR-447,13,7,LC-102 1,LC102,,
16,48,LCOR-1170,,,NA,wt,,
1,49,LCOR-1113,,,NA,wt,,
2,49,LCOR-1172,19.5,6.9,NA,wt,,
3,49,LCOR-270,16,7.6,LC-102 5C,LC102,,
4,49,LCOR-114,8,4.7,CT717 1,CT717,,
5,49,LCOR-591,15,7.4,CT717 1,CT717,,
6,49,LCOR-029,20,9.55,LC-102 5C,LC102,,
7,49,LCOR-056,9,4.85,LC-102 1,LC102,,
8,49,LCOR-578,16,8,LC-102 5A,LC102,,
9,49,LCOR-586,16.5,8.15,LC-102 5A,LC102,,
10,49,LCOR-531,19,9.7,LC-102 5,LC102,,
11,49,LCOR-477,11,6,LC-102 1C,LC102,,
12,49,LCOR-460,18,8.35,LC-102 2H,LC102,,
13,49,LCOR-615,15,6.85,LC-102 13-15E,LC102,,
14,49,LCOR-602,24,11.35,CT717 1,CT717,,
15,49,LCOR-456,14.5,7.9,LC-102 2H,LC102,,
16,49,LCOR-1174,,,NA,wt,,
1,50,LCOR-1126,,,NA,wt,,
2,50,LCOR-500,17,7.25,CT717 3,CT717,,
3,50,LCOR-119,14,7.1,CT717 1,CT717,,
4,50,LCOR-375,15,7.2,LC-102 5,LC102,insects,
