"","ID","Csetpoint","E","A","Ci","Qin","gsw","VPDlead","Fs","Fm_prime","PhiPS2","PhiCO2","ETR","Tleaf","sample_date.x","event_short","construct","construct2","block","sample_date.y","tier"
"70","LCOR-092",800,0.002826343,20.00594954,615.0157847,1500.077273,0.223684396,1.29937037,698.0028,828.51,0.157520368,0.016915265,99.33831758,27.23660909,"Aug29","8-9D","Escape","control","large","Aug29","control"
"71","LCOR-092",1000,0.002831478,20.82755771,802.5710259,1499.981818,0.222415509,1.308699877,698.5374,826.91,0.155243739,0.01756779,97.89637774,27.31025455,"Aug29","8-9D","Escape","control","large","Aug29","control"
"72","LCOR-092",1200,0.00294964,21.46582541,989.6277506,1499.941818,0.220258326,1.37538833,694.0128846,822.71,0.156430717,0.018074361,98.64221327,27.72089091,"Aug29","8-9D","Escape","control","large","Aug29","control"
"73","LCOR-092",1500,0.002731159,21.11915078,1279.972252,1500.027273,0.211164732,1.326702543,692.1025385,814.43,0.150200093,0.017798455,94.71873256,27.42680909,"Aug29","8-9D","Escape","control","large","Aug29","control"
"74","LCOR-092",2000,0.002683618,21.39401818,1763.002153,1500.077273,0.207527157,1.325492603,689.62392,807.66,0.146145754,0.018015789,92.16507289,27.43379091,"Aug29","8-9D","Escape","control","large","Aug29","control"
"75","LCOR-101",0,0.000945959,-1.855888789,49.21618368,1500.026129,0.062828742,1.503864403,669.4956,794.139,0.156954135,-0.000469845,98.97785531,27.62665806,"July20","16-20","Escape","control","large","July20","control"
"76","LCOR-101",100,0.00107621,0.1157330305,71.927943385,1499.9855,0.0716782555,1.503311795,669.87446,823.1665,0.1861373845,0.0010934335,117.37812435,27.516058335,"July20","16-20","Escape","control","large","July20","control"
"77","LCOR-101",200,0.002902051,2.700469955,178.4949481,1499.969677,0.23257709,1.284708199,686.0796154,867.289,0.208937718,0.003142896,131.7546238,27.38410323,"July20","16-20","Escape","control","large","July20","control"
"78","LCOR-101",300,0.000821398,5.638299106,154.7395052,1499.984839,0.064218535,1.277196601,703.9618462,903.905,0.221199301,0.005472259,139.4880992,27.37163226,"July20","16-20","Escape","control","large","July20","control"
"79","LCOR-101",400,0.00124952233333333,10.1320253083333,199.851731833333,1500.004301,0.0861973296666667,1.44083728266667,684.223346666667,899.398,0.239501115666667,0.00903520666666667,151.031149033333,27.4344709666667,"July20","16-20","Escape","control","large","July20","control"
"80","LCOR-101",600,0.001355987,18.33530319,258.8822183,1499.987419,0.090291846,1.507323073,710.0019231,1026.1,0.308057769,0.015539645,194.2613113,27.68551613,"July20","16-20","Escape","control","large","July20","control"
