row,column,ID ,event,construct,DBH (in),Height (in),Insect Damage ,,,,,,,
11,23,LCOR-090,LC-102 8-9D,LC102,0.46,57.0,,,,,,,,
12,23,LCOR-015,LC-102 4B,LC102,0.37,45.0,,,,,,,,
13,23,LCOR-202,CT717 3,CT717,0.39,52.0,,,,,,,,
14,23,LCOR-290,LC-102 8-9D,LC102,0.36,52.0,,,,,,,,
15,23,LCOR-333,CT717 1,CT717,0.31,35.5,,Split,,,,,,
16,23,LCOR-1155,NA,wt,0.33,35.0,,Split,,,,,,
1,24,LCOR-489,LC-102 1C,LC102,0.36,47.5,,Split,,,,,,
2,24,LCOR-178,LC-102 1C,LC102,0.40,60.5,,,,,,,,
3,24,LCOR-367,LC-102 5,LC102,0.42,54.0,,,,,,,,
4,24,LCOR-608,LC-102 13-15E,LC102,0.47,54.0,,Split,,,,,,
5,24,LCOR-229,LC-102 4A,LC102,0.44,62.0,,,,,,,,
6,24,LCOR-503,CT717 3,CT717,0.35,51.5,,,,,,,,
7,24,LCOR-339,CT717 3,CT717,0.46,64.0,,,,,,,,
8,24,LCOR-348,CT717 3,CT717,0.37,55.0,,,,,,,,
9,24,LCOR-182,LC-102 1C,LC102,0.39,59.5,,,,,,,,
10,24,LCOR-546,LC-102 4A,LC102,0.46,66.0,,,,,,,,
11,24,LCOR-212,LC-102 2H,LC102,0.49,64.0,x,,,,,,,
12,24,LCOR-404,LC-102 1C,LC102,0.38,48.0,,Split,,,,,,
13,24,LCOR-084,LC-102 13-15E,LC102,0.49,68.5,,,,,,,,
14,24,LCOR-309,LC-102 16-20,LC102,0.38,56.0,,,,,,,,
15,24,LCOR-318,LC-102 16-20,LC102,0.24,36.0,,Split,,,,,,
16,24,LCOR-1162,NA,wt,0.33,37.0,,,,,,,,
1,25,LCOR-214,LC-102 2H,LC102,0.42,52.5,,,,,,,,
2,25,LCOR-192,LC-102 13-15B,LC102,0.32,39.5,,,,,,,,
3,25,LCOR-130,LC-102 5,LC102,0.32,50.5,,,,,,,,
4,25,LCOR-606,LC-102 13-15E,LC102,0.38,47.5,,,,,,,,
5,25,LCOR-022,LC-102 4B,LC102,0.41,59.5,,,,,,,,
6,25,LCOR-434,LC-102 4B,LC102,0.42,56.5,,,,,,,,
7,25,LCOR-160,LC-102 5A,LC102,0.48,65.0,,,,,,,,
8,25,LCOR-199,CT717 3,CT717,0.40,55.0,,,,,,,,
9,25,LCOR-506,LC-102 16-20,LC102,0.35,56.0,,,,,,,,
10,25,LCOR-049,LC-102 1,LC102,0.36,53.0,,,,,,,,
11,25,LCOR-065,LC-102 2H,LC102,0.42,62.5,,,,,,,,
12,25,LCOR-055,LC-102 1,LC102,0.42,59.0,,,,,,,,
13,25,LCOR-448,LC-102 1,LC102,0.36,53.0,,,,,,,,
14,25,LCOR-379,LC-102 7,LC102,0.42,58.5,,,,,,,,
15,25,LCOR-301,LC-102 13-15E,LC102,0.29,36.0,x,Split,,,,,,
16,25,LCOR-1180,NA,wt,0.35,53.0,,,,,,,,
1,26,LCOR-462,LC-102 2H,LC102,0.36,43.0,,Split,,,,,,
2,26,LCOR-293,LC-102 8-9D,LC102,0.43,60.0,,,,,,,,
3,26,LCOR-605,LC-102 13-15E,LC102,0.36,42.0,,,,,,,,
4,26,LCOR-170,LC-102 1C,LC102,0.45,64.5,,,,,,,,
5,26,LCOR-487,LC-102 1C,LC102,0.45,59.5,,,,,,,,
6,26,LCOR-278,LC-102 5C,LC102,0.36,53.0,,,,,,,,
7,26,LCOR-613,LC-102 13-15E,LC102,0.34,45.0,,,,,,,,
8,26,LCOR-300,LC-102 13-15E,LC102,0.36,45.0,,Split,,,,,,
9,26,LCOR-341,CT717 3,CT717,0.32,48.0,,,,,,,,
10,26,LCOR-095,LC-102 8-9D,LC102,0.25,34.0,,Split,,,,,,
11,26,LCOR-361,LC-102 1,LC102,0.32,48.0,,,,,,,,
12,26,LCOR-387,LC-102 7,LC102,0.34,42.0,,Split,,,,,,
13,26,LCOR-356,LC-102 1,LC102,0.32,35.0,,Split,,,,,,
14,26,LCOR-484,LC-102 1C,LC102,0.33,50.0,x,,,,,,,
15,26,LCOR-508,LC-102 16-20,LC102,0.37,38.0,,,,,,,,
16,26,LCOR-1178,NA,wt,0.35,47.0,,Split,,,,,,
1,27,LCOR-533,LC-102 4A,LC102,0.35,38.5,,Split,,,,,,
2,27,LCOR-441,LC-102 1,LC102,0.41,59.5,,,,,,,,
3,27,LCOR-126,CT717 1,CT717,0.42,59.5,,,,,,,,
4,27,LCOR-399,LC-102 1C,LC102,0.47,67.0,,,,,,,,
5,27,LCOR-323,CT717 1,CT717,0.20,31.0,,,,,,,,
6,27,LCOR-061,LC-102 2H,LC102,0.22,34.0,,,,,,,,
7,27,LCOR-197,CT717 3,CT717,0.35,38.0,,Split,,,,,,
8,27,LCOR-373,LC-102 5,LC102,0.27,28.5,,Split,,,,,,
9,27,LCOR-206,CT717 3,CT717,0.32,41.0,,Split,,,,,,
10,27,LCOR-322,LC-102 16-20,LC102,0.36,44.0,,Split,,,,,,
11,27,LCOR-048,LC-102 1,LC102,0.30,45.0,x,,,,,,,
12,27,LCOR-175,LC-102 1C,LC102,0.30,38.0,,,,,,,,
13,27,LCOR-295,LC-102 13-15E,LC102,0.34,56.0,,,,,,,,
14,27,LCOR-388,LC-102 7,LC102,0.32,41.0,,,,,,,,
15,27,LCOR-429,LC-102 4B,LC102,0.36,53.0,,,,,,,,
16,27,LCOR-1016,NA,wt,0.38,51.5,,,,,,,,
1,28,LCOR-537,LC-102 4A,LC102,0.32,43.0,x,,,,,,,
2,28,LCOR-276,LC-102 5C,LC102,0.19,27.0,,,,,,,,
3,28,LCOR-086,LC-102 8-9D,LC102,0.21,27.5,,,,,,,,
4,28,LCOR-425,LC-102 4B,LC102,0.36,49.0,,,,,,,,
5,28,LCOR-596,CT717 1,CT717,0.32,42.0,,,,,,,,
6,28,LCOR-227,LC-102 4A,LC102,0.33,51.0,,,,,,,,
7,28,LCOR-335,CT717 1,CT717,0.29,42.5,,,,,,,,
8,28,LCOR-128,LC-102 5,LC102,0.42,58.5,,,,,,,,
9,28,LCOR-551,LC-102 7,LC102,0.33,44.0,,Split,,,,,,
10,28,LCOR-337,CT717 3,CT717,0.34,50.0,,,,,,,,
11,28,LCOR-096,LC-102 8-9D,LC102,0.29,38.5,x,,,,,,,
12,28,LCOR-405,LC-102 1C,LC102,0.48,56.5,,,,,,,,
13,28,LCOR-559,LC-102 7,LC102,0.45,65.0,,,,,,,,
14,28,LCOR-013,#N/A,#N/A,0.37,48.0,,,,,,,,
15,28,LCOR-083,LC-102 13-15E,LC102,0.34,49.0,,,,,,,,
16,28,LCOR-1020,NA,wt,0.28,43.5,,,,,,,,
1,29,LCOR-024,LC-102 4B,LC102,0.22,29.5,,,,,,,,
2,29,LCOR-557,LC-102 7,LC102,0.23,30.0,,,,,,,,
3,29,LCOR-297,LC-102 13-15E,LC102,0.26,23.0,,Split,,,,,,
4,29,LCOR-381,LC-102 7,LC102,0.08,11.0,,,,,,,,
5,29,LCOR-382,LC-102 7,LC102,0.19,27.0,,,,,,,,
6,29,LCOR-185,LC-102 13-15B,LC102,0.29,46.0,,,,,,,,
7,29,LCOR-044,LC-102 1,LC102,0.28,41.0,,,,,,,,
8,29,LCOR-600,CT717 1,CT717,0.25,41.5,,,,,,,,
9,29,LCOR-127,LC-102 5,LC102,0.28,42.0,,,,,,,,
10,29,LCOR-1048,NA,wt,0.15,19.0,,,,,,,,
11,29,LCOR-1054,NA,wt,0.22,31.0,,,,,,,,
12,29,LCOR-1049,NA,wt,0.18,27.5,,Split,,,,,,
13,29,LCOR-1103,NA,wt,0.22,32.5,x,,,,,,,
14,29,LCOR-1122,NA,wt,0.22,33.0,,,,,,,,
15,29,LCOR-1124,NA,wt,0.22,33.5,,,,,,,,
16,29,LCOR-1134,NA,wt,0.26,33.5,,,,,,,,
1,30,LCOR-424,LC-102 4B,LC102,0.19,25.0,,Split,,,,,,
2,30,LCOR-579,#N/A,#N/A,0.15,29.5,,,,,,,,
3,30,LCOR-583,LC-102 5A,LC102,0.15,17.0,,,,,,,,
4,30,LCOR-093,LC-102 8-9D,LC102,0.26,28.0,,Split,,,,,,
5,30,LCOR-281,LC-102 8-9D,LC102,0.23,28.0,,,,,,,,
6,30,LCOR-1073,NA,wt,0.29,41.0,,,,,,,,
7,30,LCOR-1082,NA,wt,0.36,47.5,,,,,,,,
8,30,LCOR-1095,NA,wt,0.25,43.0,,,,,,,,
9,30,LCOR-1244,NA,wt,0.27,36.0,,,,,,,,
10,30,LCOR-1052,NA,wt,0.30,46.0,,,,,,,,
11,30,LCOR-1202,NA,wt,0.28,30.0,,,,,,,,
12,30,LCOR-1210,NA,wt,0.24,36.0,,,,,,,,
13,30,LCOR-1154,NA,wt,0.21,32.5,,,,,,,,
14,30,LCOR-1099,NA,wt,0.36,50.0,,,,,,,,
15,30,LCOR-1140,NA,wt,0.30,43.0,x,,,,,,,
16,30,LCOR-1161,NA,wt,0.23,26.5,x,Bent at base,,,,,,
1,44,LCOR-1028,NA,wt,3.5,25.5,1,,,,,,,
2,44,LCOR-1169,NA,wt,1.8,15.5,1,,,,,,,
3,44,LCOR-1245,NA,wt,6.3,39,1,,,,,,,
4,44,LCOR-1014,NA,wt,3.1,25.5,1,,,,,,,
5,44,LCOR-1034,NA,wt,1.8,18.5,1,,,,,,,
6,44,LCOR-1118,NA,wt,3.3,25,1,,,,,,,
7,44,LCOR-1129,NA,wt,2.7,20.5,1,,,,,,,
8,44,LCOR-1136,NA,wt,3,24,1,,,,,,,
9,44,LCOR-1151,NA,wt,1,13,1,,,,,,,
10,44,LCOR-1159,NA,wt,2.3,21,1,,,,,,,
11,44,LCOR-1160,NA,wt,3.6,25,1,,,,,,,
12,44,LCOR-1193,NA,wt,2.8,19,1,,,,,,,
13,44,LCOR-1249,NA,wt,2,16.5,1,,,,,,,
14,44,LCOR-1261,NA,wt,4.8,31.5,1,,,,,,,
15,44,LCOR-1237,NA,wt,3.3,27.5,1,,,,,,,
16,44,LCOR-1135,NA,wt,1.6,16.5,1,,,,,,,
1,45,LCOR-1039,NA,wt,2.4,17.5,1,,,,,,,
2,45,LCOR-599,CT717 1,CT717,0.8,13.5,1,,,,,,,
3,45,LCOR-316,LC-102 16-20,LC102,2.9,14.5,1,,,,,,,
4,45,LCOR-100,LC-102 16-20,LC102,4.1,29,1,,,,,,,
5,45,LCOR-304,LC-102 13-15E,LC102,0.2,11.5,1,,,,,,,
6,45,LCOR-494,CT717 3,CT717,1.3,13.5,1,,,,,,,
7,45,LCOR-439,LC-102 1,LC102,1.7,15,1,,,,,,,
8,45,LCOR-378,LC-102 5,LC102,3,21.5,1,,,,,,,
9,45,LCOR-595,CT717 1,CT717,2.6,21.5,1,,,,,,,
10,45,LCOR-498,#N/A,#N/A,3.3,32,1,,,,,,,
11,45,LCOR-371,LC-102 5,LC102,3.8,23,1,,,,,,,
12,45,LCOR-234,LC-102 4A,LC102,3.6,19.5,1,,,,,,,
13,45,LCOR-461,LC-102 2H,LC102,3.7,26,1,,,,,,,
14,45,LCOR-519,LC-102 5,LC102,2.7,20.5,1,,,,,,,
15,45,LCOR-513,#N/A,#N/A,0.8,17.5,1,,,,,,,
16,45,LCOR-1027,NA,wt,2.6,21,1,,,,,,,
1,46,LCOR-1042,NA,wt,3.3,29.5,1,,,,,,,
2,46,LCOR-112,LC-102 16-20,LC102,0.4,4,0,,,,,,,
3,46,LCOR-190,LC-102 13-15B,LC102,4.4,22,1,,,,,,,
4,46,LCOR-313,LC-102 16-20,LC102,2.5,23,1,,,,,,,
5,46,LCOR-446,LC-102 1,LC102,3,17.5,1,,,,,,,
6,46,LCOR-032,LC-102 5C,LC102,6.5,38,1,,,,,,,
7,46,LCOR-492,CT717 3,CT717,0.2,10.5,1,,,,,,,
8,46,LCOR-311,LC-102 16-20,LC102,3.3,21,1,,,,,,,
9,46,LCOR-523,LC-102 5,LC102,1.2,14.5,1,,,,,,,
10,46,LCOR-432,LC-102 4B,LC102,3.2,23.5,1,,,,,,,
11,46,LCOR-025,LC-102 4B,LC102,6.8,40.5,1,,,,,,,
12,46,LCOR-538,LC-102 4A,LC102,4.4,28.5,1,,,,,,,
13,46,LCOR-102,LC-102 16-20,LC102,5.2,30.5,1,,,,,,,
14,46,LCOR-155,LC-102 5A,LC102,6.5,29,1,,,,,,,
15,46,LCOR-490,LC-102 1C,LC102,3.2,28,1,,,,,,,
16,46,LCOR-1255,NA,wt,3.9,31,1,,,,,,,
1,47,LCOR-1079,NA,wt,1.7,18.5,1,,,,,,,
2,47,LCOR-374,LC-102 5,LC102,0.6,8,1,,,,,,,
3,47,LCOR-521,LC-102 5,LC102,0.2,6.5,1,,,,,,,
4,47,LCOR-232,LC-102 4A,LC102,2.6,20.5,1,,,,,,,
5,47,LCOR-315,LC-102 16-20,LC102,5.5,32.5,1,,,,,,,
6,47,LCOR-419,LC-102 8-9D,LC102,3.5,25.5,1,,,,,,,
7,47,LCOR-365,LC-102 5,LC102,3.7,25.5,1,,,,,,,
8,47,LCOR-480,LC-102 1C,LC102,0.1,7,0,,,,,,,
9,47,LCOR-433,LC-102 4B,LC102,3.1,22.5,1,,,,,,,
10,47,LCOR-453,LC-102 2H,LC102,2.2,19.5,1,,,,,,,
11,47,LCOR-223,LC-102 2H,LC102,0.1,6.5,1,,,,,,,
12,47,LCOR-359,LC-102 1,LC102,5.9,36.5,1,,,,,,,
13,47,LCOR-216,LC-102 2H,LC102,2,21.5,1,,,,,,,
14,47,LCOR-159,LC-102 5A,LC102,6,28,1,,,,,,,
15,47,LCOR-426,LC-102 4B,LC102,3.6,21,1,,,,,,,
16,47,LCOR-1068,NA,wt,3.8,27.5,1,,,,,,,
1,48,LCOR-1083,NA,wt,2.9,21,1,,,,,,,
2,48,LCOR-113,CT717 1,CT717,0.5,11,1,,,,,,,
3,48,LCOR-505,LC-102 16-20,LC102,3.1,24,1,,,,,,,
4,48,LCOR-153,LC-102 7,LC102,5.6,33.5,1,,,,,,,
5,48,LCOR-336,CT717 1,CT717,3.7,27,1,,,,,,,
6,48,LCOR-412,LC-102 8-9D,LC102,3.7,28.5,1,,,,,,,
7,48,LCOR-509,LC-102 16-20,LC102,3.6,22.5,1,,,,,,,
8,48,LCOR-549,LC-102 7,LC102,3.6,28,1,,,,,,,
9,48,LCOR-466,LC-102 13-15B,LC102,0.8,14,1,,,,,,,
10,48,LCOR-547,LC-102 7,LC102,0.1,9.5,0,,,,,,,
11,48,LCOR-598,CT717 1,CT717,5.6,36,1,,,,,,,
12,48,LCOR-464,LC-102 13-15B,LC102,6.4,34.5,1,,,,,,,
13,48,LCOR-555,LC-102 7,LC102,0.1,9,0,,,,,,,
14,48,LCOR-189,LC-102 13-15B,LC102,4.9,34,1,,,,,,,
15,48,LCOR-447,LC-102 1,LC102,2.5,19,1,,,,,,,
16,48,LCOR-1170,NA,wt,5,30.5,1,,,,,,,
1,49,LCOR-1113,NA,wt,5.1,34.5,1,,,,,,,
2,49,LCOR-186,#N/A,#N/A,2.1,29,1,,,,,,,
3,49,LCOR-270,LC-102 5C,LC102,3.9,24,1,,,,,,,
4,49,LCOR-114,CT717 1,CT717,0.6,15,1,,,,,,,
5,49,LCOR-591,CT717 1,CT717,2.7,19,1,,,,,,,
6,49,LCOR-029,LC-102 5C,LC102,3,22.5,1,,,,,,,
7,49,LCOR-056,LC-102 1,LC102,0.1,7.5,0,,,,,,,
8,49,LCOR-578,LC-102 5A,LC102,4.2,26.5,1,,,,,,,
9,49,LCOR-586,LC-102 5A,LC102,3.2,20.5,1,,,,,,,
10,49,LCOR-531,LC-102 5,LC102,2,17,1,,,,,,,
11,49,LCOR-477,LC-102 1C,LC102,1.4,6,1,dear damage,,,,,,
12,49,LCOR-460,LC-102 2H,LC102,3.1,23.5,1,,,,,,,
13,49,LCOR-615,LC-102 13-15E,LC102,2,18,1,,,,,,,
14,49,LCOR-602,CT717 1,CT717,6.1,41.5,1,,,,,,,
15,49,LCOR-456,LC-102 2H,LC102,4.1,28,1,,,,,,,
16,49,LCOR-1174,NA,wt,3.1,25.5,1,,,,,,,
1,50,LCOR-1126,NA,wt,3.1,21,1,,,,,,,
2,50,LCOR-500,CT717 3,CT717,2.7,19,1,,,,,,,
3,50,LCOR-119,CT717 1,CT717,2.1,20,1,,,,,,,
4,50,LCOR-375,LC-102 5,LC102,2.6,20,1,,,,,,,
5,50,LCOR-208,CT717 3,CT717,3.1,25,1,,,,,,,
6,50,LCOR-457,LC-102 2H,LC102,6.8,38,1,,,,,,,
7,50,LCOR-440,LC-102 1,LC102,2.4,17,1,,,,,,,
8,50,LCOR-501,CT717 3,CT717,3.2,24,1,,,,,,,
9,50,LCOR-118,CT717 1,CT717,2,16,1,,,,,,,
10,50,LCOR-262,LC-102 4B,LC102,2.5,14,1,,,,,,,
11,50,LCOR-172,LC-102 1C,LC102,4.1,27.5,1,,,,,,,
12,50,LCOR-081,LC-102 13-15E,LC102,1.4,13,1,,,,,,,
13,50,LCOR-210,CT717 3,CT717,3.3,25,1,,,,,,,
14,50,LCOR-417,LC-102 8-9D,LC102,3.2,26,1,,,,,,,
15,50,LCOR-390,LC-102 7,LC102,1.4,16,1,,,,,,,
16,50,LCOR-1196,NA,wt,2.1,17,1,dear damage,,,,,,
1,51,LCOR-1019,NA,wt,1.9,14,1,,,,,,,
2,51,LCOR-283,#N/A,#N/A,2.1,24,1,,,,,,,
3,51,LCOR-239,#N/A,#N/A,0.9,19.5,1,,,,,,,
4,51,LCOR-219,LC-102 2H,LC102,3.7,26.5,1,,,,,,,
5,51,LCOR-532,LC-102 5,LC102,4.7,31.5,1,,,,,,,
6,51,LCOR-431,LC-102 4B,LC102,2.8,18,1,,,,,,,
7,51,LCOR-479,LC-102 1C,LC102,11.7,29,1,,,,,,,
8,51,LCOR-497,#N/A,#N/A,0.1,7,1,,,,,,,
9,51,LCOR-108,LC-102 16-20,LC102,3.2,25,1,,,,,,,
10,51,LCOR-312,LC-102 16-20,LC102,2.7,17,1,,,,,,,
11,51,LCOR-225,LC-102 4A,LC102,3.8,23,1,,,,,,,
12,51,LCOR-329,CT717 1,CT717,2,19.5,1,,,,,,,
13,51,LCOR-478,LC-102 1C,LC102,0.6,12,1,,,,,,,
14,51,LCOR-567,LC-102 5C,LC102,3,25,1,,,,,,,
15,51,LCOR-413,LC-102 8-9D,LC102,1.5,12.5,1,,,,,,,
16,51,LCOR-1205,NA,wt,3.3,26.5,1,,,,,,,
1,52,LCOR-1041,NA,wt,1.2,13,1,dear damage,,,,,,
2,52,LCOR-409,#N/A,#N/A,1.8,24.5,0,,,,,,,
3,52,LCOR-389,LC-102 7,LC102,2.1,11,1,,,,,,,
4,52,LCOR-246,LC-102 5A,LC102,0.6,11.5,1,,,,,,,
5,52,LCOR-515,#N/A,#N/A,1.1,21.5,1,,,,,,,
6,52,LCOR-430,LC-102 4B,LC102,3.8,26.5,1,,,,,,,
7,52,LCOR-465,LC-102 13-15B,LC102,3.9,29,1,,,,,,,
8,52,LCOR-496,#N/A,#N/A,1,22,1,,,,,,,
9,52,LCOR-183,LC-102 13-15B,LC102,0.6,11.5,1,,,,,,,
10,52,LCOR-416,#N/A,#N/A,0.1,9.5,1,,,,,,,
11,52,LCOR-317,LC-102 16-20,LC102,3.8,22,1,,,,,,,
12,52,LCOR-215,LC-102 2H,LC102,3.3,23,1,,,,,,,
13,52,LCOR-187,LC-102 13-15B,LC102,4.1,28,1,,,,,,,
14,52,LCOR-589,#N/A,#N/A,0.1,5,1,,,,,,,
15,52,LCOR-576,LC-102 5A,LC102,2.3,15,1,,,,,,,
16,52,LCOR-1243,NA,wt,2.7,22,1,,,,,,,
1,53,LCOR-1094,#N/A,#N/A,1.2,24,1,,,,,,,
2,53,LCOR-158,#N/A,#N/A,1.9,21,1,,,,,,,
3,53,LCOR-288,LC-102 8-9D,LC102,3.9,28.5,1,,,,,,,
4,53,LCOR-407,LC-102 8-9D,LC102,2.8,22.5,1,,,,,,,
5,53,LCOR-580,LC-102 5A,LC102,3.4,27.5,1,,,,,,,
6,53,LCOR-566,LC-102 5C,LC102,3.9,30,1,,,,,,,
7,53,LCOR-097,LC-102 8-9D,LC102,2,19,1,,,,,,,
8,53,LCOR-136,#N/A,#N/A,2.9,21.5,1,top of plant dead,,,,,,
9,53,LCOR-592,CT717 1,CT717,2.2,23.5,1,,,,,,,
10,53,LCOR-451,LC-102 2H,LC102,4.2,21,1,,,,,,,
11,53,LCOR-597,CT717 1,CT717,1.9,17.5,1,,,,,,,
12,53,LCOR-305,#N/A,#N/A,0.2,14,1,,,,,,,
13,53,LCOR-050,LC-102 1,LC102,1.9,13.5,1,,,,,,,
14,53,LCOR-444,LC-102 1,LC102,2.5,19,1,,,,,,,
15,53,LCOR-522,#N/A,#N/A,1.4,23,1,,,,,,,
16,53,LCOR-1208,NA,wt,3.7,27,1,,,,,,,
1,54,LCOR-1074,NA,wt,1.3,14.5,1,,,,,,,
2,54,LCOR-590,CT717 1,CT717,3.3,27,1,,,,,,,
3,54,LCOR-038,LC-102 5C,LC102,4.1,14,1,top of plant dead,,,,,,
4,54,LCOR-541,#N/A,#N/A,3.9,20.5,1,,,,,,,
5,54,LCOR-008,#N/A,#N/A,4.5,22,1,,,,,,,
6,54,LCOR-1138,NA,wt,4.1,13,1,top of plant dead,,,,,,
7,54,LCOR-1252,NA,wt,4.3,23.5,1,,,,,,,
8,54,LCOR-1182,NA,wt,4.2,22,1,,,,,,,
9,54,LCOR-1107,NA,wt,3.2,8,1,,,,,,,
10,54,LCOR-1123,NA,wt,3.1,15.5,1,,,,,,,
11,54,LCOR-1133,NA,wt,3.3,15.5,1,top of plant dead,,,,,,
12,54,LCOR-1179,NA,wt,1.8,10,1,,,,,,,
13,54,LCOR-1190,NA,wt,3.7,28.5,1,,,,,,,
14,54,LCOR-1013,NA,wt,5.3,19.5,1,,,,,,,
15,54,LCOR-1251,NA,wt,0.9,6,1,,,,,,,
16,54,LCOR-1045,NA,wt,2.8,16,1,,,,,,,
1,55,LCOR-1084,NA,wt,5.7,32.5,1,,,,,,,
2,55,LCOR-1176,NA,wt,5.6,30.5,1,,,,,,,
3,55,LCOR-1055,NA,wt,4.3,18,1,,,,,,,
4,55,LCOR-1067,NA,wt,3.5,18,1,,,,,,,
5,55,LCOR-1146,NA,wt,3.7,19.5,1,,,,,,,
6,55,LCOR-1156,#N/A,#N/A,2.2,19,0,,,,,,,
7,55,LCOR-1157,NA,wt,2.4,13.5,1,,,,,,,
8,55,LCOR-1184,NA,wt,3.9,11.5,1,,,,,,,
9,55,LCOR-1232,NA,wt,3.8,20,1,,,,,,,
10,55,LCOR-1258,NA,wt,4.3,16.5,1,dear damage,,,,,,
11,55,LCOR-1012,NA,wt,3,14.5,1,,,,,,,
12,55,LCOR-1109,NA,wt,3.3,18,1,,,,,,,
13,55,LCOR-1000,NA,wt,4.2,4,,"stem broken at 4 inches, top half of plant was on the ground next to the stem",,,,,,
14,55,LCOR-1125,NA,wt,3.5,18.5,1,,,,,,,
15,55,LCOR-1130,NA,wt,4.9,26,1,,,,,,,
16,55,LCOR-1056,#N/A,#N/A,2.6,19.5,1,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
