,,,,,,Pre-dawn,,8:00,,10,,12,,,,,,,,14,,16,,18,,,,,,,,,,,,,,,
row,column,ID,event_short,method,treatment,Mpa,FvFm,A(obs),gsw,A(obs),gsw,A(obs),gsw,row,column,ID,event_short,method,treatment,A(obs),gsw,A(obs),gsw,A(obs),gsw,,,,,,,,,,,,,,
13,11,LCOR-289,8-9D,both,control,,,,,,,,,13,11,LCOR-289,8-9D,both,control,,,,,,,,,,,,,,,,,,,,
10,12,LCOR-561,5C,Li600/MiniPAM,drought,,,,,,,,,10,12,LCOR-561,5C,Li600/MiniPAM,drought,,,,,,,,,,,,,,,,,,,,
11,12,LCOR-035,5C,Li600/MiniPAM,drought,,,,,,,,,11,12,LCOR-035,5C,Li600/MiniPAM,drought,,,,,,,,,,,,,,,,,,,,
13,12,LCOR-218,2H,both,control,,,,,,,,,13,12,LCOR-218,2H,both,control,,,,,,,,,,,,,,,,,,,,
4,13,LCOR-200,CT3,Li600/MiniPAM,drought,,,,,,,,,4,13,LCOR-200,CT3,Li600/MiniPAM,drought,,,,,,,,,,,,,,,,,,,,
7,13,LCOR-338,CT3,Li600/MiniPAM,drought,,,,,,,,,7,13,LCOR-338,CT3,Li600/MiniPAM,drought,,,,,,,,,,,,,,,,,,,,
8,13,LCOR-544,4A,both,drought,,,,,,,,,8,13,LCOR-544,4A,both,drought,,,,,,,,,,,,,,,,,,,,
9,13,LCOR-320,16-20,both,drought,,,,,,,,,9,13,LCOR-320,16-20,both,drought,,,,,,,,,,,,,,,,,,,,
10,13,LCOR-077,13-15E,both,control,,,,,,,,,10,13,LCOR-077,13-15E,both,control,,,,,,,,,,,,,,,,,,,,
12,13,LCOR-088,8-9D,Li600/MiniPAM,drought,,,,,,,,,12,13,LCOR-088,8-9D,Li600/MiniPAM,drought,,,,,,,,,,,,,,,,,,,,
14,13,LCOR-156,5A,both,control,,,,,,,,,14,13,LCOR-156,5A,both,control,,,,,,,,,,,,,,,,,,,,
2,14,LCOR-060,2H,Li600/MiniPAM,drought,,,,,,,,,2,14,LCOR-060,2H,Li600/MiniPAM,drought,,,,,,,,,,,,,,,,,,,,
7,14,LCOR-347,CT3,Li600/MiniPAM,drought,,,,,,,,,7,14,LCOR-347,CT3,Li600/MiniPAM,drought,,,,,,,,,,,,,,,,,,,,
9,14,LCOR-269,5C,both,control,,,,,,,,,9,14,LCOR-269,5C,both,control,,,,,,,,,,,,,,,,,,,,
13,14,LCOR-014,4A,both,control,,,,,,,,,13,14,LCOR-014,4A,both,control,,,,,,,,,,,,,,,,,,,,
14,14,LCOR-091,8-9D,both,drought,,,,,,,,,14,14,LCOR-091,8-9D,both,drought,,,,,,,,,,,,,,,,,,,,
11,15,LCOR-507,16-20,both,drought,,,,,,,,,11,15,LCOR-507,16-20,both,drought,,,,,,,,,,,,,,,,,,,,
13,15,LCOR-562,5C,both,drought,,,,,,,,,13,15,LCOR-562,5C,both,drought,,,,,,,,,,,,,,,,,,,,
2,16,LCOR-247,5A,both,drought,,,,,,,,,2,16,LCOR-247,5A,both,drought,,,,,,,,,,,,,,,,,,,,
6,16,LCOR-072,13-15E,both,drought,,,,,,,,,6,16,LCOR-072,13-15E,both,drought,,,,,,,,,,,,,,,,,,,,
10,16,LCOR-033,5C,Li600/MiniPAM,drought,,,,,,,,,10,16,LCOR-033,5C,Li600/MiniPAM,drought,,,,,,,,,,,,,,,,,,,,
15,16,LCOR-614,13-15E,Li600/MiniPAM,drought,,,,,,,,,15,16,LCOR-614,13-15E,Li600/MiniPAM,drought,,,,,,,,,,,,,,,,,,,,
5,17,LCOR-079,13-15E,both,drought,,,,,,,,,5,17,LCOR-079,13-15E,both,drought,,,,,,,,,,,,,,,,,,,,
6,17,LCOR-458,2H,Li600/MiniPAM,drought,,,,,,,,,6,17,LCOR-458,2H,Li600/MiniPAM,drought,,,,,,,,,,,,,,,,,,,,
9,17,LCOR-275,5C,Li600/MiniPAM,drought,,,,,,,,,9,17,LCOR-275,5C,Li600/MiniPAM,drought,,,,,,,,,,,,,,,,,,,,
15,17,LCOR-271,5C,both,drought,,,,,,,,,15,17,LCOR-271,5C,both,drought,,,,,,,,,,,,,,,,,,,,
2,18,LCOR-058,2H,both,drought,,,,,,,,,2,18,LCOR-058,2H,both,drought,,,,,,,,,,,,,,,,,,,,
12,18,LCOR-243,5A,Li600/MiniPAM,drought,,,,,,,,,12,18,LCOR-243,5A,Li600/MiniPAM,drought,,,,,,,,,,,,,,,,,,,,
5,19,LCOR-491,CT3,Li600/MiniPAM,drought,,,,,,,,,5,19,LCOR-491,CT3,Li600/MiniPAM,drought,,,,,,,,,,,,,,,,,,,,
2,20,LCOR-162,5A,Li600/MiniPAM,drought,,,,,,,,,2,20,LCOR-162,5A,Li600/MiniPAM,drought,,,,,,,,,,,,,,,,,,,,
