Name,,,,,,
Date,,,,,,
dbh in mm @ 6in,,,,,,
height in feet (incremented in tenths),,,,,,
,,,,,,
row,column,ID,DBH,Height,Comments,Updated Growth 5/9
5,24,LCOR-229,26.13,12.38,,
6,24,LCOR-503,19.43,9.97,,
7,24,LCOR-339,24.57,12.21,,
8,24,LCOR-348,23.37,11.23,,
9,24,LCOR-182,23.7,11.37,,
10,24,LCOR-546,25.86,12.18,,
11,24,LCOR-212,25.03,11.89,,
12,24,LCOR-404,26.19,12.19,,
13,24,LCOR-084,30.35,14.25,,
14,24,LCOR-309,27.78,13.42,,
15,24,LCOR-318,21.14,10.32,,
16,24,LCOR-1162,,,,
1,25,LCOR-214,22.14,,,
2,25,LCOR-192,18.73,9.84,,
3,25,LCOR-130,21.84,11.18,,
4,25,LCOR-606,22.52,10.17,,
5,25,LCOR-022,25.38,12.22,,
6,25,LCOR-434,27.31,13.12,,
7,25,LCOR-160,29.28,14.01,,
8,25,LCOR-199,21.66,9.78,,
9,25,LCOR-506,20.8,10.55,,
10,25,LCOR-049,24.73,12.32,,
11,25,LCOR-065,25.59,11.58,,
12,25,LCOR-055,29.6,13.67,,
13,25,LCOR-448,24.01,11.19,,
14,25,LCOR-379,29.14,13.68,,
15,25,LCOR-301,24.31,12.17,,
16,25,LCOR-1180,,,,
1,26,LCOR-462,21.08,9.71,,
2,26,LCOR-293,29.91,12.85,,
3,26,LCOR-605,21.14,10.25,,
4,26,LCOR-170,29.42,13.29,,
5,26,LCOR-487,27.62,13.34,,
6,26,LCOR-278,25.18,11.65,,
7,26,LCOR-613,22.16,10.76,,
8,26,LCOR-300,20.19,10.02,,
9,26,LCOR-341,20.02,9.45,,
10,26,LCOR-095,16.15,8.48,,
11,26,LCOR-361,20.12,10.31,,
12,26,LCOR-387,23.84,12.11,,
13,26,LCOR-356,22.37,10.92,,
14,26,LCOR-484,21.8,11.71,,
15,26,LCOR-508,29.02,13.01,,
16,26,LCOR-1178,,,,
1,27,LCOR-533,22.81,10.71,,
2,27,LCOR-441,30.29,13.07,,
3,27,LCOR-126,25.36,11.35,,
