row,column,ID,Caliper,DBH,Height
15,48,LCOR-447,16.18,9.85,8.3
3,49,LCOR-270,22.12,14.24,11
6,49,LCOR-029,31.1,21.19,13.9
7,49,LCOR-056,12.83,6.06,7.3
8,49,LCOR-578,22.24,14.56,10.3
9,49,LCOR-586,21.79,13.42,10.6
10,49,LCOR-531,27.91,18.86,13.2
11,49,LCOR-477,17.01,8.88,8.7
12,49,LCOR-460,25.2,15.43,11.5
13,49,LCOR-615,22.45,11.55,10.2
15,49,LCOR-456,22.28,14.45,11
2,50,LCOR-500,24.5,13.14,10.2
4,50,LCOR-375,23.16,13.64,10.8
5,50,LCOR-208,27.72,17.47,12.6
6,50,LCOR-457,24.47,14.71,11.2
7,50,LCOR-440,22.7,14.93,10.5
8,50,LCOR-501,26.21,16.54,11.1
10,50,LCOR-262,21.58,12.49,10.2
11,50,LCOR-172,25.85,16.13,11.8
12,50,LCOR-081,25.06,12.43,10.4
13,50,LCOR-210,31.16,18.66,12.8
14,50,LCOR-417,24.17,13.2,10.6
15,50,LCOR-390,26.69,17.57,12.7
4,51,LCOR-219,15.5,7.75,8.2
5,51,LCOR-532,37.53,25.9,16.1
6,51,LCOR-431,27.68,16.92,11.5
7,51,LCOR-479,39.47,27.92,16.3
9,51,LCOR-108,34.3,20.47,13.4
10,51,LCOR-312,26.43,14.19,10.9
11,51,LCOR-225,24.95,13.63,10.7
13,51,LCOR-478,20.36,12.21,10.6
14,51,LCOR-567,24.57,16,11.9
15,51,LCOR-413,23.82,15.54,11.7
3,52,LCOR-389,25.83,19.38,10.8
4,52,LCOR-246,24.48,16.75,11.9
6,52,LCOR-430,29.91,19.41,13.1
7,52,LCOR-465,25.05,16,11.5
9,52,LCOR-183,23.35,13.66,10.7
12,52,LCOR-215,30.38,18.81,12.3
13,52,LCOR-187,34.12,22.28,15.3
15,52,LCOR-576,23.94,14.16,11.8
3,53,LCOR-288,33.97,21.56,13.4
4,53,LCOR-407,18.32,10.62,8.8
5,53,LCOR-580,20.69,12.6,10
6,53,LCOR-566,22.55,14.51,10.8
7,53,LCOR-097,22.52,13.62,11
10,53,LCOR-451,26.45,15.55,12.1
13,53,LCOR-050,17.02,10.25,8.5
14,53,LCOR-444,19.39,12.01,9.6
3,54,LCOR-038,22.55,13.77,10.3
