"","X","row","column","ID","event","event_short","construct","construct2","block","H49","H144","H299","H335","H357","H385","H421","H497","D49","D144","D299","D335","D357","D385","D421","D497","V49","V144","V299","V335","V357","V385","V421","V497","V49_cm","V144_cm","V299_cm","V335_cm","V357_cm","V385_cm","V421_cm","V497_cm","event2"
"72",72,9,8,"LCOR-034","LC-102 5C","5C","LC-102","transgenic","large",1663.7,2226.5,2273.808,2606.04,3078.48,3535.68,4312.92,4572,12.954,16,16,21.5,28,30,34,36,279179.0351892,569984,582094.848,1204641.99,2413528.32,3182112,4985735.52,5925312,279.1790351892,569.984,582.094848,1204.64199,2413.52832,3182.112,4985.73552,5925.312,"LC-102 5C"
"73",73,10,8,"LCOR-255","LC-102 4B","4B","LC-102","transgenic","large",1473.2,1708,1819.656,2209.8,2773.68,3398.52,4069.08,4206.24,10.414,12,13,18,24,27,29,29,159770.5965872,245952,307521.864,715975.2,1597639.68,2477521.08,3422096.28,3537447.84,159.7705965872,245.952,307.521864,715.9752,1597.63968,2477.52108,3422.09628,3537.44784,"LC-102 4B"
"74",74,11,8,"LCOR-238","LC-102 4A","4A","LC-102","transgenic","large",1295.4,1494.5,1551.432,1920.24,2392.68,2926.08,3566.16,3596.64,10.922,12,13,15.5,19,22,25,25,154528.3748136,215208,262192.008,461337.66,863757.48,1416222.72,2228850,2247900,154.5283748136,215.208,262.192008,461.33766,863.75748,1416.22272,2228.85,2247.9,"LC-102 4A"
"75",75,12,8,"LCOR-254","LC-102 4B","4B","LC-102","transgenic","large",1549.4,1616.5,1652.016,1956.816,2316.48,2819.4,3550.92,3550.92,9.652,11,11,15,18,21,25,25,144343.8145376,195596.5,199893.936,440283.6,750539.52,1243355.4,2219325,2219325,144.3438145376,195.5965,199.893936,440.2836,750.53952,1243.3554,2219.325,2219.325,"LC-102 4B"
"76",76,13,8,"LCOR-469","LC-102 13-15B","13-15B","LC-102","transgenic","large",1130.3,1130.3,1130.3,1316.736,1600.2,1950.72,2712.72,3688.08,6.858,7,8,9.1,11,12,17,35,53160.4549692,55384.7,72339.2,109038.90816,193624.2,280903.68,783976.08,4517898,53.1604549692,55.3847,72.3392,109.03890816,193.6242,280.90368,783.97608,4517.898,"LC-102 13-15B"
"77",77,14,8,"LCOR-167","LC-102 5A","5A","LC-102","transgenic","large",1168.4,1433.5,1563.624,1990.344,2468.88,3017.52,3627.12,5273.04,9.144,11,12,16.2,21,23,25,38,97693.1207424,173453.5,225161.856,522345.87936,1088776.08,1596268.08,2266950,7614269.76,97.6931207424,173.4535,225.161856,522.34587936,1088.77608,1596.26808,2266.95,7614.26976,"LC-102 5A"
"78",78,15,8,"LCOR-274","LC-102 5C","5C","LC-102","transgenic","large",1168.4,1168.4,1203.96,1508.76,1874.52,2407.92,3078.48,3078.48,7.366,7.366,8,11,13,16,20,20,63394.9957904,63394.9957904,77053.44,182559.96,316793.88,616427.52,1231392,1231392,63.3949957904,63.3949957904,77.05344,182.55996,316.79388,616.42752,1231.392,1231.392,"LC-102 5C"
"79",79,2,9,"LCOR-581","LC-102 5A","5A","LC-102","transgenic","large",1168.4,1433.5,1542.288,1895.856,2407.92,3246.12,4419.6,4846.32,7.62,10,11,15,27.5,28,37.5,42,67842.44496,143350,186616.848,426567.6,1820989.5,2544958.08,6215062.5,8548908.48,67.84244496,143.35,186.616848,426.5676,1820.9895,2544.95808,6215.0625,8548.90848,"LC-102 5A"
"80",80,3,9,"LCOR-001","LC-102 4A","4A","LC-102","transgenic","large",1752.6,2165.5,2279.904,2590.8,3154.68,3779.52,4754.88,4968.24,11.938,15,15,21,30,34,38,38,249773.2681944,487237.5,512978.4,1142542.8,2839212,4369125.12,6866046.72,7174138.56,249.7732681944,487.2375,512.9784,1142.5428,2839.212,4369.12512,6866.04672,7174.13856,"LC-102 4A"
"81",81,4,9,"LCOR-342","CT717 3","CT3","Control","control","large",1422.4,1586,1645.92,1981.2,2468.88,3093.72,3931.92,4053.84,10.668,11,13,18.5,23,24,29,29,161877.9730176,191906,278160.48,678065.7,1306037.52,1781982.72,3306744.72,3409279.44,161.8779730176,191.906,278.16048,678.0657,1306.03752,1781.98272,3306.74472,3409.27944,"CT717 3"
"82",82,5,9,"LCOR-471","LC-102 13-15B","13-15B","LC-102","transgenic","large",1562.1,1906.25,1975.104,2383.536,2834.64,3550.92,4450.08,4572,10.922,14,14,20,25,29,33.5,35,186343.0402164,373625,387120.384,953414.4,1771650,2986323.72,4994102.28,5600700,186.3430402164,373.625,387.120384,953.4144,1771.65,2986.32372,4994.10228,5600.7,"LC-102 13-15B"
"83",83,6,9,"LCOR-380","LC-102 7","7","LC-102","transgenic","large",1625.6,2043.5,2130.552,2484.12,2987.04,3642.36,4419.6,4632.96,11.938,15,16,20,24,27,31,32,231673.7560064,459787.5,545421.312,993648,1720535.04,2655280.44,4247235.6,4744151.04,231.6737560064,459.7875,545.421312,993.648,1720.53504,2655.28044,4247.2356,4744.15104,"LC-102 7"
"84",84,7,9,"LCOR-076","LC-102 13-15E","13-15E","LC-102","transgenic","large",1041.4,1387.75,1472.184,1780.032,2255.52,2895.6,3810,3931.92,7.366,10,11,15.2,20,22,27.5,27.5,56504.2353784,138775,178134.264,411258.59328,902208,1401470.4,2881312.5,2973514.5,56.5042353784,138.775,178.134264,411.25859328,902.208,1401.4704,2881.3125,2973.5145,"LC-102 13-15E"
"85",85,8,9,"LCOR-163","LC-102 5A","5A","LC-102","transgenic","large",1524,1982.5,2048.256,2423.16,2895.6,3535.68,4480.56,4754.88,10.414,14,15,19.1,26,29,33,34,165279.927504,388570,460857.6,883992.9996,1957425.6,2973506.88,4879329.84,5496641.28,165.279927504,388.57,460.8576,883.9929996,1957.4256,2973.50688,4879.32984,5496.64128,"LC-102 5A"
"86",86,10,9,"LCOR-217","LC-102 2H","2H","LC-102","transgenic","large",1422.4,1738.5,1789.176,2054.352,2590.8,2956.56,3825.24,3931.92,10.668,12,13,16.5,20,23,28,30,161877.9730176,250344,302370.744,559297.332,1036320,1564020.24,2998988.16,3538728,161.8779730176,250.344,302.370744,559.297332,1036.32,1564.02024,2998.98816,3538.728,"LC-102 2H"
"87",87,11,9,"LCOR-231","LC-102 4A","4A","LC-102","transgenic","large",1320.8,1631.75,1691.64,1990.344,2407.92,2926.08,3779.52,3931.92,10.414,11,13,16,20,22,27.5,28,143242.6038368,197441.75,285887.16,509528.064,963168,1416222.72,2858262,3082625.28,143.2426038368,197.44175,285.88716,509.528064,963.168,1416.22272,2858.262,3082.62528,"LC-102 4A"
"88",88,12,9,"LCOR-075","LC-102 13-15E","13-15E","LC-102","transgenic","large",571.5,571.5,591.312,975.36,1188.72,1524,2255.52,2346.96,3.81,5,5,8,8,9,14,14,8295.95115,14287.5,14782.8,62423.04,76078.08,123444,442081.92,460004.16,8.29595115,14.2875,14.7828,62.42304,76.07808,123.444,442.08192,460.00416,"LC-102 13-15E"
"89",89,13,9,"LCOR-504","CT717 3","CT3","Control","control","large",876.3,884.5,923.544,1280.16,1615.44,2011.68,2773.68,2865.12,5.08,6,7,9,11.5,14,18,19,22614.14832,31842,45253.656,103692.96,213641.94,394289.28,898672.32,1034308.32,22.61414832,31.842,45.253656,103.69296,213.64194,394.28928,898.67232,1034.30832,"CT717 3"
"90",90,14,9,"LCOR-511","LC-102 16-20","16-20","Escape","control","large",1358.9,1358.9,1395.984,1716.024,2103.12,2651.76,3352.8,3413.76,8.128,9,10,12.1,16,18,23,23,89774.8914176,110070.9,139598.4,251243.07384,538398.72,859170.24,1773631.2,1805879.04,89.7748914176,110.0709,139.5984,251.24307384,538.39872,859.17024,1773.6312,1805.87904,"escape"
"91",91,15,9,"LCOR-041","LC-102 5C","5C","LC-102","transgenic","large",1244.6,1555.5,1603.248,1926.336,2407.92,3063.24,3733.8,3733.8,8.382,10,11,15.9,21,22,26,28,87443.0122104,155550,193993.008,486997.00416,1061892.72,1482608.16,2524048.8,2927299.2,87.4430122104,155.55,193.993008,486.99700416,1061.89272,1482.60816,2524.0488,2927.2992,"LC-102 5C"
"92",92,3,10,"LCOR-023","LC-102 4B","4B","LC-102","transgenic","large",1295.4,1677.5,1746.504,2109.216,2560.32,3124.2,3810,3901.44,9.398,12,12,17,23,25,29.5,30,114412.8421416,241560,251496.576,609563.424,1354409.28,1952625,3315652.5,3511296,114.4128421416,241.56,251.496576,609.563424,1354.40928,1952.625,3315.6525,3511.296,"LC-102 4B"
"93",93,4,10,"LCOR-020","LC-102 4B","4B","LC-102","transgenic","large",787.3999999,960.75,1008.888,1322.832,1737.36,2148.84,2987.04,3078.48,5.08,6,8,9.9,14,15,25,25,20319.9593574194,34587,64568.832,129650.76432,340522.56,483489,1866900,1924050,20.3199593574194,34.587,64.568832,129.65076432,340.52256,483.489,1866.9,1924.05,"LC-102 4B"
"94",94,5,10,"LCOR-010","LC-102 4A","4A","LC-102","transgenic","large",1168.4,1342,1423.416,1740.408,2286,2621.28,3505.2,3566.16,7.874,10,10,13,17,19,23,23,72440.6551184,134200,142341.6,294128.952,660654,946282.08,1854250.8,1886498.64,72.4406551184,134.2,142.3416,294.128952,660.654,946.28208,1854.2508,1886.49864,"LC-102 4A"
"95",95,6,10,"LCOR-292","LC-102 8-9D","8-9D","Escape","control","large",1219.2,1433.5,1478.28,1804.416,2164.08,2636.52,3383.28,3566.16,7.874,9,10,13,17,19,22,23,75590.2488192,116113.5,147828,304946.304,625419.12,951783.72,1637507.52,1886498.64,75.5902488192,116.1135,147.828,304.946304,625.41912,951.78372,1637.50752,1886.49864,"escape"
"96",96,7,10,"LCOR-420","LC-102 8-9D","8-9D","Escape","control","large",1346.2,1616.5,1676.4,2008.632,2438.4,2987.04,3794.76,3901.44,9.398,11,11,15.5,20,22,26,26,118899.6202648,195596.5,202844.4,482573.838,975360,1445727.36,2565257.76,2637373.44,118.8996202648,195.5965,202.8444,482.573838,975.36,1445.72736,2565.25776,2637.37344,"escape"
"97",97,8,10,"LCOR-157","LC-102 5A","5A","LC-102","transgenic","large",1600.2,1708,1770.888,1950.72,2331.72,2926.08,3779.52,3931.92,10.668,11,13,13,17,20,26.5,28,182112.7196448,206668,299280.072,329671.68,673867.08,1170432,2654167.92,3082625.28,182.1127196448,206.668,299.280072,329.67168,673.86708,1170.432,2654.16792,3082.62528,"LC-102 5A"
"98",98,10,10,"LCOR-263","LC-102 4B","4B","LC-102","transgenic","large",1574.8,1769,1769,2109.216,2468.88,2910.84,3749.04,3810,10.668,12,12,16,19,21,26,26,179222.0415552,254736,254736,539959.296,891265.68,1283680.44,2534351.04,2575560,179.2220415552,254.736,254.736,539.959296,891.26568,1283.68044,2534.35104,2575.56,"LC-102 4B"
"99",99,11,10,"LCOR-018","LC-102 4B","4B","LC-102","transgenic","large",1295.4,1647,1709.928,2103.12,2575.56,3108.96,3931.92,4114.8,10.414,12,13,13,21,23,27,28,140487.9383784,237168,288977.832,355427.28,1135821.96,1644639.84,2866369.68,3226003.2,140.4879383784,237.168,288.977832,355.42728,1135.82196,1644.63984,2866.36968,3226.0032,"LC-102 4B"
"100",100,12,10,"LCOR-286","LC-102 8-9D","8-9D","Escape","control","large",1346.2,1433.5,1466.088,1770.888,2225.04,2682.24,3383.28,3413.76,8.636,11,11,12.2,16,17,21,22,100400.2637152,173453.5,177396.648,263578.96992,569610.24,775167.36,1492026.48,1652259.84,100.4002637152,173.4535,177.396648,263.57896992,569.61024,775.16736,1492.02648,1652.25984,"escape"
"101",101,13,10,"LCOR-133","LC-102 5","5","LC-102","transgenic","large",939.7999999,939.7999999,981.456,1347.216,1737.36,2194.56,2773.68,3017.52,4.318,6,7,10.5,13,14,18,20,17522.6875333355,33832.7999964,48091.344,148530.564,293613.84,430133.76,898672.32,1207008,17.5226875333355,33.8327999964,48.091344,148.530564,293.61384,430.13376,898.67232,1207.008,"LC-102 5"
"102",102,14,10,"LCOR-039","LC-102 5C","5C","LC-102","transgenic","large",1295.4,1342,1356.36,1615.44,1950.72,2453.64,3276.6,3474.72,9.144,9.144,10,12.6,16,18,24,25,108311.9382144,112208.291712,135636,256467.2544,499384.32,794979.36,1887321.6,2171700,108.3119382144,112.208291712,135.636,256.4672544,499.38432,794.97936,1887.3216,2171.7,"LC-102 5C"
"103",103,15,10,"LCOR-203","CT717 3","CT3","Control","control","large",1219.2,1281,1353.312,1652.016,2087.88,2621.28,3383.28,3474.72,8.128,9,9,13,17,19,22.5,23,80545.6969728,103761,109618.272,279190.704,603397.32,946282.08,1712785.5,1838126.88,80.5456969728,103.761,109.618272,279.190704,603.39732,946.28208,1712.7855,1838.12688,"CT717 3"
"104",104,2,11,"LCOR-164","LC-102 5A","5A","LC-102","transgenic","large",1320.8,1372.5,1435.608,1652.016,2164.08,2514.6,3535.68,3688.08,9.144,10,10,14,17,19,24,25,110435.7017088,137250,143560.8,323795.136,625419.12,907770.6,2036551.68,2305050,110.4357017088,137.25,143.5608,323.795136,625.41912,907.7706,2036.55168,2305.05,"LC-102 5A"
"105",105,3,11,"LCOR-529","LC-102 5","5","LC-102","transgenic","large",1498.6,1769,1798.32,2075.688,2438.4,2941.32,3718.56,3870.96,10.16,11,12,16,19,21,24,25,154693.88416,214049,258958.08,531376.128,880262.4,1297122.12,2141890.56,2419350,154.69388416,214.049,258.95808,531.376128,880.2624,1297.12212,2141.89056,2419.35,"LC-102 5"
"106",106,4,11,"LCOR-386","LC-102 7","7","LC-102","transgenic","large",1231.9,1372.5,1417.32,1737.36,2133.6,2727.96,3520.44,3520.44,8.128,9,9,13,16,18,23,23,81384.7146496,111172.5,114802.92,293613.84,546201.6,883859.04,1862312.76,1862312.76,81.3847146496,111.1725,114.80292,293.61384,546.2016,883.85904,1862.31276,1862.31276,"LC-102 7"
"107",107,5,11,"LCOR-028","LC-102 4B","4B","LC-102","transgenic","large",1244.6,1433.5,1496.568,1780.032,2072.64,2468.88,3246.12,3383.28,8.89,10,10,14,17,19,19,25,98363.35166,143350,149656.8,348886.272,598992.96,891265.68,1171849.32,2114550,98.36335166,143.35,149.6568,348.886272,598.99296,891.26568,1171.84932,2114.55,"LC-102 4B"
"108",108,6,11,"LCOR-527","LC-102 5","5","LC-102","transgenic","large",1625.6,1982.5,2045.208,2112.264,2910.84,3535.68,4297.68,4328.16,11.684,13,13,19,24,27,30,30,221920.1755136,335042.5,345640.152,762527.304,1676643.84,2577510.72,3867912,3895344,221.9201755136,335.0425,345.640152,762.527304,1676.64384,2577.51072,3867.912,3895.344,"LC-102 5"
"109",109,8,11,"LCOR-150","LC-102 7","7","LC-102","transgenic","large",1422.4,1647,1709.928,2042.16,2529.84,3017.52,3901.44,3992.88,9.144,10,11,15,19,21,25,26,118930.7556864,164700,206901.288,459486,913272.24,1330726.32,2438400,2699186.88,118.9307556864,164.7,206.901288,459.486,913.27224,1330.72632,2438.4,2699.18688,"LC-102 7"
"110",110,9,11,"LCOR-233","LC-102 4A","4A","LC-102","transgenic","large",1219.2,1433.5,1478.28,1844.04,2194.56,2773.68,3520.44,3596.64,9.906,11,11,15.1,17,21,26,26,119638.6768512,173453.5,178871.88,420459.5604,634227.84,1223192.88,2379817.44,2431328.64,119.6386768512,173.4535,178.87188,420.4595604,634.22784,1223.19288,2379.81744,2431.32864,"LC-102 4A"
"111",111,10,11,"LCOR-161","LC-102 5A","5A","LC-102","transgenic","large",1270,1296.25,1338.072,1597.152,1981.2,2545.08,3352.8,3444.24,7.874,8,8,12.1,14,16,20,22,78739.84252,82960,85636.608,233839.02432,388315.2,651540.48,1341120,1667012.16,78.73984252,82.96,85.636608,233.83902432,388.3152,651.54048,1341.12,1667.01216,"LC-102 5A"
"112",112,11,11,"LCOR-019","LC-102 4B","4B","LC-102","transgenic","large",762,793,856.488,1136.904,1508.76,1965.96,2804.16,2895.6,6.604,7,7,9.2,12,13,18,19,33232.965792,38857,41967.912,96227.55456,217261.44,332247.24,908547.84,1045311.6,33.232965792,38.857,41.967912,96.22755456,217.26144,332.24724,908.54784,1045.3116,"LC-102 4B"
"113",113,12,11,"LCOR-360","LC-102 1","1","LC-102","transgenic","large",1193.8,1387.75,1444.752,1749.552,2179.32,2667,3413.76,3535.68,8.89,10,10,14,18,20,24,24,94348.52098,138775,144475.2,342912.192,706099.68,1066800,1966325.76,2036551.68,94.34852098,138.775,144.4752,342.912192,706.09968,1066.8,1966.32576,2036.55168,"LC-102 1"
"114",114,13,11,"LCOR-289","LC-102 8-9D","8-9D","Escape","control","large",1447.8,1525,1584.96,1828.8,2164.08,2560.32,3230.88,3931.92,9.398,11,11,14,18,19,23,24,127873.1765112,184525,191780.16,358444.8,701161.92,924275.52,1709135.52,2264785.92,127.8731765112,184.525,191.78016,358.4448,701.16192,924.27552,1709.13552,2264.78592,"escape"
"115",115,14,11,"LCOR-040","LC-102 5C","5C","LC-102","transgenic","large",1016,1037,1100.328,1322.832,1645.92,2026.92,2788.92,2895.6,6.858,8,8,10.1,11,11,17,18,47784.678624,66368,70420.992,134942.09232,199156.32,245257.32,805997.88,938174.4,47.784678624,66.368,70.420992,134.94209232,199.15632,245.25732,805.99788,938.1744,"LC-102 5C"
"116",116,2,12,"LCOR-180","LC-102 1C","1C","LC-102","transgenic","large",1295.4,1372.5,1435.608,1712.976,2164.08,2590.8,3398.52,3398.52,8.382,9,9,13,16,19,24,25,91012.1147496,111172.5,116284.248,289492.944,554004.48,935278.8,1957547.52,2124075,91.0121147496,111.1725,116.284248,289.492944,554.00448,935.2788,1957.54752,2124.075,"LC-102 1C"
"117",117,3,12,"LCOR-403","LC-102 1C","1C","LC-102","transgenic","large",1358.9,1494.5,1572.768,1618.488,2407.92,2926.08,3380.232,3718.56,9.398,10,11,15,19,22,24,26,120021.3147956,149450,190304.928,364159.8,869259.12,1416222.72,1947013.632,2513746.56,120.0213147956,149.45,190.304928,364.1598,869.25912,1416.22272,1947.013632,2513.74656,"LC-102 1C"
"118",118,4,12,"LCOR-364","LC-102 1","1","LC-102","transgenic","large",1003.3,1250.5,1304.544,1682.496,2179.32,2727.96,3474.72,3566.16,7.62,9,9,13.1,18,19,24,24,58256.01252,101290.5,105668.064,288733.13856,706099.68,984793.56,2001438.72,2054108.16,58.25601252,101.2905,105.668064,288.73313856,706.09968,984.79356,2001.43872,2054.10816,"LC-102 1"
"119",119,5,12,"LCOR-277","LC-102 5C","5C","LC-102","transgenic","large",1219.2,1647,1706.88,2106.168,2621.28,3230.88,3840.48,3840.48,8.89,12,12,17,23,25,28,28,96355.93632,237168,245790.72,608682.552,1386657.12,2019300,3010936.32,3010936.32,96.35593632,237.168,245.79072,608.682552,1386.65712,2019.3,3010.93632,3010.93632,"LC-102 5C"
"120",120,7,12,"LCOR-111","LC-102 16-20","16-20","Escape","control","large",1473.2,1738.5,1780.032,2103.12,2499.36,3002.28,3688.08,3779.52,10.668,12,12,16.5,20,23,26,27,167659.3291968,250344,256324.608,572574.42,999744,1588206.12,2493142.08,2755270.08,167.6593291968,250.344,256.324608,572.57442,999.744,1588.20612,2493.14208,2755.27008,"escape"
"121",121,8,12,"LCOR-303","LC-102 13-15E","13-15E","LC-102","transgenic","large",1511.3,1555.5,1603.248,1892.808,2286,2743.2,3444.24,3505.2,10.16,11,11,13.5,17,18,22,23,156004.84928,188215.5,193993.008,344964.258,660654,888796.8,1667012.16,1854250.8,156.00484928,188.2155,193.993008,344.964258,660.654,888.7968,1667.01216,1854.2508,"LC-102 13-15E"
"122",122,9,12,"LCOR-588","LC-102 5A","5A","LC-102","transgenic","large",1358.9,1448.75,1496.568,1804.416,2255.52,2697.48,3307.08,3413.76,8.636,9,9,13.1,16,18,20,21,101347.4360144,117348.75,121222.008,309655.82976,577413.12,873983.52,1322832,1505468.16,101.3474360144,117.34875,121.222008,309.65582976,577.41312,873.98352,1322.832,1505.46816,"LC-102 5A"
"123",123,10,12,"LCOR-561","LC-102 5C","5C","LC-102","transgenic","large",1447.8,1616.5,1630.68,1932.432,2331.72,2880.36,3657.6,3749.04,10.16,11,11,15,18,20,23,23,149450.02368,195596.5,197312.28,434797.2,755477.28,1152144,1934870.4,1983242.16,149.45002368,195.5965,197.31228,434.7972,755.47728,1152.144,1934.8704,1983.24216,"LC-102 5C"
"124",124,11,12,"LCOR-035","LC-102 5C","5C","LC-102","transgenic","large",1384.3,1738.5,1792.224,2084.832,2423.16,2941.32,3596.64,3718.56,9.906,11,12,16,19,21,24,25,135839.7476748,210358.5,258080.256,533716.992,874760.76,1297122.12,2071664.64,2324100,135.8397476748,210.3585,258.080256,533.716992,874.76076,1297.12212,2071.66464,2324.1,"LC-102 5C"
"125",125,12,12,"LCOR-241","LC-102 5A","5A","LC-102","transgenic","large",1384.3,1525,1525,2042.16,2286,2834.64,3566.16,3688.08,8.89,10,10,14.5,18,21,24,25,109404.13603,152500,152500,429364.14,740664,1250076.24,2054108.16,2305050,109.40413603,152.5,152.5,429.36414,740.664,1250.07624,2054.10816,2305.05,"LC-102 5A"
"126",126,13,12,"LCOR-218","LC-102 2H","2H","LC-102","transgenic","large",1524,1524,1524,1716.024,2133.6,2667,3291.84,3352.8,12.7,13,13,16,20,22,23.5,24,245805.96,257556,257556,439302.144,853440,1290828,1817918.64,1931212.8,245.80596,257.556,257.556,439.302144,853.44,1290.828,1817.91864,1931.2128,"LC-102 2H"
"127",127,14,12,"LCOR-002","LC-102 4A","4A","LC-102","transgenic","large",711.1999999,793,847.344,1136.904,1478.28,1767.84,2407.92,2529.84,5.842,6,6,9,12,12,15,16,24272.5191933871,28548,30504.384,92089.224,212872.32,254568.96,541782,647639.04,24.2725191933871,28.548,30.504384,92.089224,212.87232,254.56896,541.782,647.63904,"LC-102 4A"
"128",128,15,12,"LCOR-026","LC-102 4B","4B","LC-102","transgenic","large",1371.6,1647,1761.744,2112.264,2560.32,3124.2,3779.52,3870.96,8.89,11,12,16,20,23,25,27,108400.42836,199287,253691.136,540739.584,1024128,1652701.8,2362200,2821929.84,108.40042836,199.287,253.691136,540.739584,1024.128,1652.7018,2362.2,2821.92984,"LC-102 4B"
"129",129,2,13,"LCOR-066","LC-102 2H","2H","LC-102","transgenic","large",1041.4,1250.5,1353.312,1627.632,1981.2,2316.48,2941.32,2941.32,6.858,8,9,11,14,16,18,18,48979.2955896,80032,109618.272,196943.472,388315.2,593018.88,952987.68,952987.68,48.9792955896,80.032,109.618272,196.943472,388.3152,593.01888,952.98768,952.98768,"LC-102 2H"
"130",130,3,13,"LCOR-423","LC-102 4B","4B","LC-102","transgenic","large",1219.2,1296.25,1478.28,1627.632,2087.88,2545.08,3108.96,3108.96,8.128,9,11,12,16,17,19,19,80545.6969728,104996.25,178871.88,234379.008,534497.28,735528.12,1122334.56,1122334.56,80.5456969728,104.99625,178.87188,234.379008,534.49728,735.52812,1122.33456,1122.33456,"LC-102 4B"
"131",131,4,13,"LCOR-200","CT717 3","CT3","Control","control","large",1320.8,1418.25,1551.432,1828.8,2255.52,2819.4,3474.72,3505.2,9.144,10,10,14,18,19,23,24,110435.7017088,141825,155143.2,358444.8,730788.48,1017803.4,1838126.88,2018995.2,110.4357017088,141.825,155.1432,358.4448,730.78848,1017.8034,1838.12688,2018.9952,"CT717 3"
"132",132,6,13,"LCOR-137","LC-102 5","5","LC-102","transgenic","large",1270,1494.5,1725.168,1828.8,2148.84,2651.76,3444.24,3444.24,9.652,10,12,13.5,16,17,22,22,118314.60208,149450,248424.192,333298.8,550103.04,766358.64,1667012.16,1667012.16,118.31460208,149.45,248.424192,333.2988,550.10304,766.35864,1667.01216,1667.01216,"LC-102 5"
"133",133,7,13,"LCOR-338","CT717 3","CT3","Control","control","large",1409.7,1662.25,1662.25,2023.872,2438.4,2910.84,3581.4,3627.12,9.906,12,12,15.5,20,24,27,27,138332.2201092,239364,239364,486235.248,975360,1676643.84,2610840.6,2644170.48,138.3322201092,239.364,239.364,486.235248,975.36,1676.64384,2610.8406,2644.17048,"CT717 3"
"134",134,8,13,"LCOR-544","LC-102 4A","4A","LC-102","transgenic","large",1041.4,1128.5,1770.888,1770.888,1770.888,2133.6,2941.32,2987.04,11.938,11.938,12,12,15,15,19,20,148415.9999416,160829.129954,255007.872,255007.872,398449.8,480060,1061816.52,1194816,148.4159999416,160.829129954,255.007872,255.007872,398.4498,480.06,1061.81652,1194.816,"LC-102 4A"
"135",135,9,13,"LCOR-320","LC-102 16-20","16-20","Escape","control","large",1524,1753.75,1753.75,2112.264,2468.88,2987.04,3596.64,3596.64,11.176,12,13,16,20,22,25,25,190352.135424,252540,296383.75,540739.584,987552,1445727.36,2247900,2247900,190.352135424,252.54,296.38375,540.739584,987.552,1445.72736,2247.9,2247.9,"escape"
"136",136,10,13,"LCOR-077","LC-102 13-15E","13-15E","LC-102","transgenic","large",1270,1555.5,1555.5,1987.296,2453.64,3063.24,3901.44,3992.88,11.43,12,12,16.5,20,23,27,27,165919.023,223992,223992,541041.336,981456,1620453.96,2844149.76,2910809.52,165.919023,223.992,223.992,541.041336,981.456,1620.45396,2844.14976,2910.80952,"LC-102 13-15E"
"137",137,12,13,"LCOR-088","LC-102 8-9D","8-9D","Escape","control","large",1206.5,1372.5,1834.896,1834.896,2194.56,2682.24,3520.44,3566.16,9.906,11,12,14,17,19,22,28,118392.440634,166072.5,264225.024,359639.616,634227.84,968288.64,1703892.96,2795869.44,118.392440634,166.0725,264.225024,359.639616,634.22784,968.28864,1703.89296,2795.86944,"escape"
"138",138,13,13,"LCOR-030","LC-102 5C","5C","LC-102","transgenic","large",1587.5,1799.5,1799.5,2225.04,2621.28,3154.68,3520.44,3931.92,11.938,12,12,15,20,23,26,26,226243.90235,259128,259128,500634,1048512,1668825.72,2379817.44,2657977.92,226.24390235,259.128,259.128,500.634,1048.512,1668.82572,2379.81744,2657.97792,"LC-102 5C"
"139",139,14,13,"LCOR-156","LC-102 5A","5A","LC-102","transgenic","large",1346.2,1346.2,1463.04,1463.04,2026.92,2575.56,3474.72,3627.12,8.636,9,9,12,15,17,23,25,100400.2637152,109042.2,118506.24,210677.76,456057,744336.84,1838126.88,2266950,100.4002637152,109.0422,118.50624,210.67776,456.057,744.33684,1838.12688,2266.95,"LC-102 5A"
"140",140,15,13,"LCOR-051","LC-102 1","1","LC-102","transgenic","large",1155.7,1403,1530.096,1746.504,2103.12,2514.6,3261.36,3291.84,7.62,9,10,13,15,17,21,21,67105.02708,113643,153009.6,295159.176,473202,726719.4,1438259.76,1451701.44,67.10502708,113.643,153.0096,295.159176,473.202,726.7194,1438.25976,1451.70144,"LC-102 1"
"141",141,2,14,"LCOR-060","LC-102 2H","2H","LC-102","transgenic","large",1295.4,1342,1368.552,1624.584,1981.2,2423.16,3017.52,3017.52,8.382,9,9,12.1,14,16,19.5,20,91012.1147496,108702,110852.712,237855.34344,388315.2,620328.96,1147411.98,1207008,91.0121147496,108.702,110.852712,237.85534344,388.3152,620.32896,1147.41198,1207.008,"LC-102 2H"
"142",142,3,14,"LCOR-604","LC-102 13-15E","13-15E","LC-102","transgenic","large",1536.7,1860.5,1908.048,2258.568,2743.2,3322.32,4145.28,4480.56,10.414,12,13,19,23,26,30,34,166657.2602332,267912,322460.112,815343.048,1451152.8,2245888.32,3730752,5179527.36,166.6572602332,267.912,322.460112,815.343048,1451.1528,2245.88832,3730.752,5179.52736,"LC-102 13-15E"
"143",143,4,14,"LCOR-368","LC-102 5","5","LC-102","transgenic","large",1104.9,1128.5,1146.048,1469.136,1889.76,2423.16,3596.64,3596.64,6.35,6.35,7,10.5,12.5,16,20,21,44552.33025,45503.94125,56156.352,161972.244,295275,620328.96,1438656,1586118.24,44.55233025,45.50394125,56.156352,161.972244,295.275,620.32896,1438.656,1586.11824,"LC-102 5"
