Douglas-fir Breeding Zone 7,,,,,,PS 2/2001,,,,,,,,,,,,,,,,,,,
Live Grafts & Progeny Testing,,,,,,rc 11/2023,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
DNA,cloneID,nf,rd,sz,el,BH_Ramets_Planned,BH_Ramets_2000,FH_subunit,FH_Ramets_Planned,FH_Ramets_2000,TestSet1,TestSet2,age(y),ht(ft),dbh(in),SPGR,lat(d/m),lon(d/m),lat(dd),lon(dd),asp,siteIndex,treeIndex,,
sampled,14469,0,,525,28,4,4,,,,,,26,67,11.5,0.000,39/34.6,121/15.0,39.5767,121.2500,4,163,175,,
sampled,14470,0,,525,33,4,4,Low,13,1,2,,79,154,27.9,0.000,39/39.8,121/12.8,39.6633,121.2133,1,168,174,,
sampled,14472,0,,525,26,4,4,Low,13,4,2,,93,115,21,0.000,39/35.5,121/16.2,39.5917,121.2700,8,115,120,,
sampled,14473,0,,525,33,4,4,Low,13,9,2,,39,100,20.5,0.000,39/35.5,121/12.8,39.5917,121.2133,4,150,181,,
unsampled,14474,0,,525,30,4,4,Low,13,12,2,,45,103,24.7,0.000,39/33.7,121/13.9,39.5617,121.2317,2,161,168,,
dead,14475,0,,525,31,4,4,,,,,,32,80,16.7,0.000,39/37.2,121/15.0,39.6200,121.2500,7,142,175,,
unsampled,14476,,,525,,,,,,,,,,,,,,,,,,,,,
sampled,14477,0,,525,31,4,4,Low,13,11,4,,43,107,18.7,0.000,39/34.6,121/12.8,39.5767,121.2133,7,162,180,,
unsampled,14481,0,,525,36,4,4,Low,13,9,3,,50,96,21.2,0.000,39/36.8,121/13.9,39.6133,121.2317,5,132,145,,
unsampled,14482,0,,525,37,4,4,High,14,12,1,,43,111,21.8,0.000,39/35.5,121/10.6,39.5917,121.1767,,162,188,,
unsampled,14483,0,,525,37,4,4,High,12,12,2,,46,112,27.6,0.000,39/35.5,121/10.6,39.5917,121.1767,3,160,180,,
unsampled,14484,0,,525,39,4,3,High,13,10,1,,40,96,20,0.000,39/38.1,121/09.5,39.6350,121.1583,9,150,172,,
unsampled,14485,0,,525,39,4,4,High,12,9,2,,37,78,16.8,0.000,39/37.2,121/10.6,39.6200,121.1767,9,140,148,,
unsampled,14486,0,,525,39,4,4,High,12,6,4,,36,102,24.7,0.000,39/36.3,121/10.6,39.6050,121.1767,5,192,192,,
dead,14487,0,,525,37,4,3,High,13,11,1,,30,67,14.7,0.000,39/35.5,121/11.7,39.5917,121.1950,3,115,152,,
sampled,14488,0,,525,38,4,4,High,12,8,2,,38,108,22.6,0.000,39/34.6,121/11.7,39.5767,121.1950,1,162,200,,
unsampled,14489,0,,525,39,4,4,High,13,8,1,,46,112,23,0.000,39/37.2,121/13.9,39.6200,121.2317,2,162,177,,
sampled,14490,0,,525,37,4,4,High,13,6,1,,45,114,22.3,0.000,39/37.2,121/08.3,39.6200,121.1383,9,158,182,,
unsampled,14491,0,,525,36,4,4,Low,13,12,2,,52,122,25.9,0.000,39/35.5,121/10.6,39.5917,121.1767,4,162,180,,
sampled,14492,0,,525,36,4,4,Low,13,12,4,,79,158,31.7,0.000,39/35.5,121/10.6,39.5917,121.1767,4,160,178,,
unsampled,14493,0,,525,39,4,3,High,13,8,1,,44,117,25.1,0.000,39/38.9,121/12.8,39.6483,121.2133,2,175,191,,
unsampled,14494,0,,525,39,4,3,High,12,10,2,,38,109,28,0.000,39/38.1,121/12.8,39.6350,121.2133,9,183,200,,
unsampled,14496,0,,525,38,4,4,High,13,9,1,,58,144,25,0.000,39/40.7,121/11.7,39.6783,121.1950,7,180,195,,
sampled,14497,0,,525,38,4,4,,,,2,,76,137,22.2,0.000,39/38.1,121/07.2,39.6350,121.1200,7,140,158,,
dead,14498,0,,525,38,,,,,,2,,50,124,22.1,0.000,39/40.7,121/12.8,39.6783,121.2133,6,150,184,,
sampled,14499,0,,525,36,4,4,Low,13,10,,,48,98,18.3,0.000,39/36.3,121/12.8,39.6050,121.2133,,,157,,
unsampled,14500,0,,525,39,4,3,High,12,10,1,,69,150,33.4,0.000,39/39.8,121/10.6,39.6633,121.1767,7,148,182,,
sampled,14501,0,,525,41,4,4,High,12,10,3,,40,99,24.1,0.000,39/41.5,121/12.8,39.6917,121.2133,1,160,178,,
unsampled,14502,0,,525,41,4,2,High,12,8,1,,37,94,23.5,0.000,39/39.8,121/10.6,39.6633,121.1767,3,155,180,,
unsampled,14503,0,,525,42,4,3,High,12,10,2,,67,99,25.9,0.000,39/38.9,121/08.3,39.6483,121.1383,8,125,125,,
unsampled,14505,0,,525,44,4,2,High,12,9,1,,35,88,21.1,0.000,39/40.7,121/08.3,39.6783,121.1383,3,135,178,,
unsampled,14506,0,,525,44,4,4,High,12,8,2,,39,99,25.4,0.000,39/40.7,121/08.3,39.6783,121.1383,5,155,180,,
unsampled,14507,0,,525,40,4,3,High,12,6,1,,41,97,18.7,0.000,39/36.3,121/10.6,39.6050,121.1767,8,158,170,,
