"","row","column","event_short","construct","construct2","ID","DS_1","DS_18","DS_32","DS_55","delta1","delta2","delta3"
"337",11,45,"5","LC-102","transgenic","LCOR-371",1,1,1,1,-1,-1,-1
"338",12,45,"4A","LC-102","transgenic","LCOR-234",0,0,0,0,0,0,0
"339",13,45,"2H","LC-102","transgenic","LCOR-461",1,1,1,1,0,0,0
"340",14,45,"5","LC-102","transgenic","LCOR-519",1,1,1,1,0,0,-1
"341",2,46,"16-20","Escape","control","LCOR-112",4,4,4,4,-2,-2,-1
"342",3,46,"13-15B","LC-102","transgenic","LCOR-190",2,3,3,3,1,0,-1
"343",4,46,"16-20","Escape","control","LCOR-313",1,1,1,1,0,0,0
"344",5,46,"1","LC-102","transgenic","LCOR-446",1,1,1,2,0,0,1
"345",6,46,"5C","LC-102","transgenic","LCOR-032",0,1,1,1,1,0,0
"346",7,46,"CT3","Control","control","LCOR-492",1,1,2,2,0,1,-1
"347",8,46,"16-20","Escape","control","LCOR-311",1,1,2,2,0,1,-1
"348",9,46,"5","LC-102","transgenic","LCOR-523",1,1,2,2,0,1,0
"349",10,46,"4B","LC-102","transgenic","LCOR-432",1,1,1,1,0,0,0
"350",11,46,"4B","LC-102","transgenic","LCOR-025",0,1,1,1,1,0,0
"351",13,46,"16-20","Escape","control","LCOR-102",0,0,0,1,0,0,1
"352",14,46,"5A","LC-102","transgenic","LCOR-155",1,1,1,1,-1,-1,-1
"353",15,46,"1C","LC-102","transgenic","LCOR-490",1,1,2,2,0,1,0
"354",2,47,"5","LC-102","transgenic","LCOR-374",1,1,1,1,-1,-1,0
"355",3,47,"5","LC-102","transgenic","LCOR-521",3,3,3,3,0,0,0
"356",4,47,"4A","LC-102","transgenic","LCOR-232",1,1,1,1,0,0,0
"357",5,47,"16-20","Escape","control","LCOR-315",0,0,0,2,0,0,2
"358",6,47,"8-9D","Escape","control","LCOR-419",0,0,0,1,0,0,1
"359",7,47,"5","LC-102","transgenic","LCOR-365",1,1,1,2,0,0,1
"360",8,47,"1C","LC-102","transgenic","LCOR-480",1,1,1,2,0,0,1
"361",9,47,"4B","LC-102","transgenic","LCOR-433",1,1,1,1,0,0,0
"362",10,47,"2H","LC-102","transgenic","LCOR-453",1,1,1,1,0,0,0
"363",11,47,"2H","LC-102","transgenic","LCOR-223",0,0,0,0,0,0,0
"364",13,47,"2H","LC-102","transgenic","LCOR-216",1,1,1,1,0,0,0
"365",14,47,"5A","LC-102","transgenic","LCOR-159",1,1,1,1,0,0,0
"366",15,47,"4B","LC-102","transgenic","LCOR-426",1,1,1,1,0,0,0
"367",3,48,"16-20","Escape","control","LCOR-505",0,0,0,0,0,0,0
"368",4,48,"7","LC-102","transgenic","LCOR-153",0,0,0,1,0,0,1
"369",6,48,"8-9D","Escape","control","LCOR-412",0,1,1,2,1,0,1
"370",7,48,"16-20","Escape","control","LCOR-509",1,1,1,2,0,0,1
"371",8,48,"7","LC-102","transgenic","LCOR-549",1,1,1,2,0,0,1
"372",9,48,"13-15B","LC-102","transgenic","LCOR-466",1,1,1,2,0,0,1
"373",10,48,"7","LC-102","transgenic","LCOR-547",1,1,1,2,0,0,1
"374",12,48,"13-15B","LC-102","transgenic","LCOR-464",0,0,0,1,0,0,1
"375",13,48,"7","LC-102","transgenic","LCOR-555",1,1,1,1,-1,-1,0
"376",14,48,"13-15B","LC-102","transgenic","LCOR-189",1,2,2,2,1,0,0
"377",15,48,"1","LC-102","transgenic","LCOR-447",4,4,4,4,-1,-1,-2
"378",3,49,"5C","LC-102","transgenic","LCOR-270",1,1,2,2,0,1,0
"379",6,49,"5C","LC-102","transgenic","LCOR-029",1,1,1,1,0,0,0
"380",7,49,"1","LC-102","transgenic","LCOR-056",1,1,1,1,0,0,0
"381",8,49,"5A","LC-102","transgenic","LCOR-578",1,1,1,1,0,0,0
"382",9,49,"5A","LC-102","transgenic","LCOR-586",1,1,1,1,0,0,0
"383",10,49,"5","LC-102","transgenic","LCOR-531",1,1,1,1,0,0,0
"384",11,49,"1C","LC-102","transgenic","LCOR-477",1,1,1,1,-1,-1,0
"385",12,49,"2H","LC-102","transgenic","LCOR-460",1,1,1,1,-1,-1,0
"386",13,49,"13-15E","LC-102","transgenic","LCOR-615",1,1,1,1,-1,-1,0
"387",15,49,"2H","LC-102","transgenic","LCOR-456",1,1,1,1,0,0,0
"388",2,50,"CT3","Control","control","LCOR-500",0,1,1,2,1,0,1
"389",4,50,"5","LC-102","transgenic","LCOR-375",1,1,1,2,0,0,1
"390",5,50,"CT3","Control","control","LCOR-208",1,1,1,1,0,0,0
"391",6,50,"2H","LC-102","transgenic","LCOR-457",1,1,1,1,0,0,0
"392",7,50,"1","LC-102","transgenic","LCOR-440",1,1,1,2,0,0,1
"393",8,50,"CT3","Control","control","LCOR-501",1,1,1,2,0,0,1
"394",10,50,"4B","LC-102","transgenic","LCOR-262",1,1,1,1,0,0,0
"395",11,50,"1C","LC-102","transgenic","LCOR-172",4,5,5,5,1,0,0
"396",12,50,"13-15E","LC-102","transgenic","LCOR-081",1,1,1,1,0,0,-1
"397",13,50,"CT3","Control","control","LCOR-210",1,1,1,1,0,0,0
"398",14,50,"8-9D","Escape","control","LCOR-417",1,1,1,1,0,0,-1
"399",15,50,"7","LC-102","transgenic","LCOR-390",1,1,1,1,0,0,0
"400",4,51,"2H","LC-102","transgenic","LCOR-219",3,4,5,5,1,1,0
"401",5,51,"5","LC-102","transgenic","LCOR-532",0,1,1,1,1,0,0
"402",6,51,"4B","LC-102","transgenic","LCOR-431",1,1,1,1,0,0,0
"403",7,51,"1C","LC-102","transgenic","LCOR-479",0,1,1,1,1,0,0
"404",9,51,"16-20","Escape","control","LCOR-108",1,1,1,1,0,0,0
"405",10,51,"16-20","Escape","control","LCOR-312",1,1,1,2,0,0,1
"406",11,51,"4A","LC-102","transgenic","LCOR-225",1,1,1,2,0,0,1
"407",13,51,"1C","LC-102","transgenic","LCOR-478",1,1,1,1,-1,-1,-1
"408",14,51,"5C","LC-102","transgenic","LCOR-567",2,2,2,2,-1,-1,-1
"409",15,51,"8-9D","Escape","control","LCOR-413",1,1,1,1,-1,-1,-1
"410",3,52,"7","LC-102","transgenic","LCOR-389",1,1,1,1,0,0,0
"411",4,52,"5A","LC-102","transgenic","LCOR-246",1,1,1,2,0,0,1
"412",6,52,"4B","LC-102","transgenic","LCOR-430",1,1,1,1,0,0,0
"413",7,52,"13-15B","LC-102","transgenic","LCOR-465",1,1,1,1,0,0,0
"414",9,52,"13-15B","LC-102","transgenic","LCOR-183",1,1,1,2,0,0,1
"415",12,52,"2H","LC-102","transgenic","LCOR-215",1,1,1,1,-1,-1,-1
"416",13,52,"13-15B","LC-102","transgenic","LCOR-187",1,1,1,1,-1,-1,-1
"417",15,52,"5A","LC-102","transgenic","LCOR-576",2,2,2,2,-2,-2,-1
"418",3,53,"8-9D","Escape","control","LCOR-288",3,3,3,3,0,0,-1
"419",4,53,"8-9D","Escape","control","LCOR-407",1,1,1,1,0,0,0
"420",5,53,"5A","LC-102","transgenic","LCOR-580",1,1,1,1,0,0,0
"421",6,53,"5C","LC-102","transgenic","LCOR-566",1,1,1,2,0,0,1
"422",7,53,"8-9D","Escape","control","LCOR-097",1,1,1,2,0,0,1
"423",10,53,"2H","LC-102","transgenic","LCOR-451",1,1,1,1,-1,0,0
"424",13,53,"1","LC-102","transgenic","LCOR-050",1,1,1,2,0,0,1
"425",14,53,"1","LC-102","transgenic","LCOR-444",1,1,1,1,0,0,0
"426",3,54,"5C","LC-102","transgenic","LCOR-038",1,1,1,1,0,0,0
